Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
0,c++,上海·浦东·张江,对日C/C++开发软件工程师,上海裕日软件有限公司,合资,大专,C++,3-5年,144000.0,264000.0,20.0,99.0
1,c++,上海·浦东·金桥,c++,外企德科,合资,本科,Java Python C语言 嵌入式开发,经验不限,225000.0,450000.0,1000.0,9999.0
2,c++,上海·浦东·金桥,c++,其他,上市公司,本科,C++ C/C++ Linux,无经验,168000.0,280000.0,1000.0,9999.0
3,c++,上海·黄浦·豫园,C++开发工程师,翰竺科技(北京)有限公司,外商独资,本科,C++ C语言,3-5年,180000.0,216000.0,100.0,299.0
4,c++,上海·潍坊新村,c++,其他,民营,本科,C++ C/C++ Linux QT 多线程 MFC Windows,3-5年,195000.0,390000.0,20.0,99.0
5,c++,上海·徐汇·虹梅路,C++开发工程师,上海微创软件股份有限公司,合资,大专,后端开发 QT C++,5-10年,286000.0,338000.0,10000.0,
6,c++,上海·浦东·唐镇,c++,上海零霸格软件科技工作室(个人独资),其它,学历不限,无要求,5-10年,,,,20.0
7,c++,上海·闵行·浦江,c++,其他,民营,本科,无要求,经验不限,96000.0,120000.0,500.0,999.0
8,c++,上海·徐汇·龙华,C++开发工程师,上海微创软件股份有限公司,合资,本科,C++ STL Boost,3-5年,240000.0,264000.0,10000.0,
9,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,,本科,Java Python,经验不限,140000.0,280000.0,10000.0,
10,c++,上海·闵行·浦江,软件开发工程师,上海现代通用识别技术有限公司,国企,本科,Java Python C++,经验不限,96000.0,180000.0,20.0,99.0
11,c++,上海·浦东·金桥,C++开发实习生,上海宝宏软件有限公司,民营,本科,C++ C语言,无经验,96000.0,144000.0,100.0,299.0
12,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,280000.0,10000.0,
