,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,c++,上海·浦东·张江,对日C/C++开发软件工程师,上海裕日软件有限公司,20-99人,合资,1.2万-2.2万,大专,C++,3-5年
1,c++,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科,Java Python C语言 嵌入式开发,经验不限
2,c++,上海·浦东·金桥, , ,1000-9999人,上市公司,1.2万-2万·14薪,本科,C++ C/C++ Linux,无经验
3,c++,上海·黄浦·豫园,C++开发工程师,翰竺科技(北京)有限公司,100-299人,外商独资,1.5万-1.8万,本科,C++ C语言,3-5年
4,c++,上海·潍坊新村, , ,20-99人,民营,1.5万-3万·13薪,本科,C++ C/C++ Linux QT 多线程 MFC Windows,3-5年
5,c++,上海·徐汇·虹梅路,C++开发工程师,上海微创软件股份有限公司,10000人以上,合资,2.2万-2.6万·13薪,大专,后端开发 QT C++,5-10年
6,c++,上海·浦东·唐镇, ,上海零霸格软件科技工作室(个人独资),20人以下,其它,20000元/月,学历不限, ,5-10年
7,c++,上海·闵行·浦江, , ,500-999人,民营,8千-1万,本科, ,经验不限
8,c++,上海·徐汇·龙华,C++开发工程师,上海微创软件股份有限公司,10000人以上,合资,2万-2.2万,本科,C++ STL Boost,3-5年
9,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1万-2万·14薪,本科,Java Python,经验不限
10,c++,上海·闵行·浦江,软件开发工程师,上海现代通用识别技术有限公司,20-99人,国企,8千-1.5万,本科,Java Python C++,经验不限
11,c++,上海·浦东·金桥,C++开发实习生,上海宝宏软件有限公司,100-299人,民营,8千-1.2万,本科,C++ C语言,无经验
12,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2万·14薪,本科, ,经验不限
13,c++,上海·南京东路,对日C/C++开发,辛巴达软件,20-99人,民营,1万-2万,学历不限,日语 C C++,1-3年
14,c++,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,C语言 C++,经验不限
15,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科, ,经验不限
16,c++,上海·青浦·徐泾,软件开发工程师：JAVA、APP、C++,上海道风信息科技有限公司,20人以下,民营,6千-1万,本科, ,经验不限
17,c++,上海·黄浦·小东门, ,外企德科,1000-9999人,合资,1.6万-3万·14薪,本科,后端开发 Java Python 多线程 微服务架构,经验不限
18,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-3万·14薪,本科,JavaScript Python C++,经验不限
19,c++,上海,C++/Java引擎研发工程师（推荐搜索方向）, ,1000-9999人,上市公司,面议,本科, ,1-3年
20,c++,上海·浦东·金桥,python java c c++ js开发工程师,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
21,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.1万-2.2万·14薪,本科,Java Python c C++,经验不限
22,c++,上海·浦东·南汇新城,上位机软件工程师,上海知从科技有限公司,20-99人,民营,1万-2万·15薪,本科,Java 四六级,经验不限
23,c++,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.2万-2.4万,本科,C Javascript Spring,经验不限
24,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ Spring Java JavaScript,1-3年
25,c++,上海·静安·大宁路,软件开发工程师（C/C++/Java·上海·社招）(J10276),卡斯柯信号有限公司（CASCO）,1000-9999人,合资,面议,硕士, ,1-3年
26,c++,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.8万-3.5万·16薪,本科, ,1-3年
27,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
28,c++,上海·松江·新桥,初级C++开发工程师,上海叶烁数字信息技术发展有限公司,20-99人,民营,5千-8千,本科,C++ C语言 C# 数据结构 Windows 嵌入式开发 算法基础 嵌入式技术,经验不限
29,c++,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万,本科,Java,经验不限
30,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-3万·16薪,本科,C语言 Java Python,经验不限
31,c++,上海·闵行·颛桥,c/c++,上海玮蓬电子科技有限公司,电子/半导体/集成电路,20-99人,1.7万-2.5万·14薪,本科, ,经验不限
32,c++,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
33,c++,上海·青浦·金泽, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2万·14薪,本科,C语言 Java C++,经验不限
34,c++,上海·浦东·金桥,日语c++/c#开发工程师,上海宝宏软件有限公司,100-299人,民营,9千-1.8万,学历不限, ,经验不限
35,c++,上海·浦东·金桥,Java/c++/c/python/js/php/测试/线上面试,外企德科,1000-9999人,合资,1.5万-3万,本科, ,经验不限
36,c++,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科, ,经验不限
