,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,python,上海·浦东·曹路,Python架构开发人员 Python Architecture Developer,上海蓝载信息科技有限公司,20-99人,民营,250-500/天,本科,Django Flask FLASHAPI RESTFUL API DATA MULTI-AGENT SYS,无经验
1,python,上海·嘉定·南翔,python,格林酒店(上海)有限公司,10000人以上,民营,1.5万-2万,本科, ,3-5年
2,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1万-2万·14薪,本科, ,经验不限
3,python,上海·嘉定·南翔,上海python/爬虫工程师,广州海之鑫营销策划有限公司,20-99人,其它,8千-1.2万,本科, ,3-5年
4,python,上海·浦东·金桥, ,湖南海纳明人机电有限公司,100-299人,民营,1.3万-2.6万·16薪,学历不限,Django Flask Pandas Python git LINUX操作系统,经验不限
5,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-3万·14薪,本科, ,经验不限
6,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.2万-2.4万,本科,C Javascript Spring,经验不限
7,python,上海·浦东·花木,运营中心-证券部-RPA研发实习生G00794,中信期货有限公司,1000-9999人,国企,1千-2千,本科,Python SQL 数据库 VBA,经验不限
8,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.1万-2.2万·14薪,本科,Java Python c C++,经验不限
9,python,上海·黄浦·小东门, ,外企德科,1000-9999人,合资,1.6万-3万·14薪,本科, ,经验不限
10,python,上海·静安·曹家渡,python爬虫工程师/爬虫后端工程师, ,500-999人,合资,1.2万-1.6万,本科, ,1-3年
11,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科, ,经验不限
12,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万,本科,Java,经验不限
13,python,上海·黄浦·南京东路,python全栈自动化测试课程/培训招生上海,51Testing,100-299人,民营,8千-1.2万,大专, ,经验不限
14,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ Spring Java JavaScript,1-3年
15,python,上海·浦东·金桥,Java/c++/c/python/js/php/测试/线上面试,外企德科,1000-9999人,合资,1.5万-3万,本科, ,经验不限
16,python,上海·浦东·张江, ,首聘(北京)科技有限公司,1000-9999人,民营,1.6万-1.8万,大专,Python Java GO Shell,1-3年
17,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
18,python,上海·浦东·金桥,python java c c++ js开发工程师,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
19,python,上海·浦东·金桥, , ,10000人以上,民营,1.1万-1.5万,大专, ,经验不限
20,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科, ,经验不限
21,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
22,python,上海·黄浦·南京东路,python爬虫工程师,北京小确信安全防范科技有限公司,20-99人,其它,1.5万-2.7万,大专, ,3-5年
23,python,上海·青浦·徐泾, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ Spring Java JavaScript,1-3年
24,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,2万-4万·16薪,本科, ,经验不限
25,python,上海·浦东·金桥,java/python/c/javascript/golang开发工程师, ,1000-9999人,民营,1.5万-3万·16薪,本科, ,经验不限
26,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.6万-3万·14薪,本科,C++ C Python,经验不限
27,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
28,python,上海·闵行·浦江,爬虫开发工程师, ,20-99人,民营,9千-1.6万·13薪,大专,Python 爬虫开发,1-3年
29,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
30,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.3万-2.6万,本科, ,经验不限
31,python,上海·浦东·金桥,"软件开发（Java,python）-硬件工程测试部", ,10000人以上,民营,9千-1.5万,本科, ,3-5年
32,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科, ,经验不限
33,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.8万-3.5万·16薪,本科, ,1-3年
34,python,上海·浦东·金桥, , ,10000人以上,民营,1.1万-1.5万,大专, ,经验不限
35,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,JavaScript Python C++ MySQL Oracle PostgreSQL Spring Hibernate Mybatis,经验不限
36,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1万-1.4万·14薪,本科, ,1-3年
37,python,上海·杨浦·新江湾城,python爬虫工程师, ,1000-9999人,上市公司,1.5万-2.5万·13薪,大专, ,3-5年
38,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ C Java 通信/物联网/自动化 嵌入式,经验不限
39,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
40,python,上海·黄浦·小东门, , ,300-499人,民营,1.1万-2万,大专, ,1-3年
41,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科, ,经验不限
42,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,2.1万-4万·16薪,本科,C++ Python Java,经验不限
43,python,上海·浦东·金杨新村,python编程讲师, ,100-299人,民营,1万-2万,本科, ,经验不限
44,python,上海·青浦·金泽, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2万·14薪,本科,Django,经验不限
45,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.4万-2.8万·14薪,本科,全栈开发 后端开发 SpringBoot SpringMVC Java Python JavaScript WEB开发,经验不限
46,python,上海·浦东·金桥, , ,10000人以上,民营,1.1万-1.5万,大专, ,经验不限
47,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科, ,经验不限
48,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·16薪,本科, ,经验不限
49,python,上海·徐汇·虹梅路,智驾云端开发实习生,经纬恒润,1000-9999人,民营,170-200/天,本科,Java,无经验
50,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2.8万·14薪,本科,Java Python C++,1-3年
51,python,上海·浦东·金桥, , ,10000人以上,民营,1.1万-1.5万,大专, ,经验不限
52,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.8万-3.5万·14薪,本科, ,经验不限
53,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
54,python,上海·浦东·陆家嘴,数据爬虫工程师,上海问道云人工智能科技有限公司,20-99人,民营,1.5万-2万,本科,Java Python 数据挖掘 数据清洗 数据采集 爬虫开发 反爬虫 分布式爬虫,3-5年
55,python,上海·闵行·虹桥,Python开发实习生,上海熵变网络科技有限公司,20-99人,民营,5千-1万,本科,Python,无经验
56,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1万-2万·14薪,本科, ,经验不限
57,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·15薪,本科,Python C++ Java,经验不限
58,python,上海·浦江,生信助理工程师,上海英拜生物科技有限公司,20-99人,民营,8千-1.6万,本科,C# R语言 Java C语言 Python SQL Perl 甲基化组学,经验不限
59,python,上海·浦东·金桥,研发（java/JS/Python/C/C++/Go/测试）,外企德科,1000-9999人,合资,1.5万-3万,本科,Java Python JavaScript,经验不限
60,python,上海·静安·大宁路,软件开发工程师（C/C++/Java/C#/Python）(上海·校招)(J10274),卡斯柯信号有限公司（CASCO）,1000-9999人,合资,面议,硕士,C++ C C# Python Java,经验不限
61,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2.5万·14薪,本科,Python Java C++,经验不限
62,python,上海·浦东·洋泾,Python开发工程师,大连弗斯特高新人才发展管理有限公司,100-299人,民营,2.5万-4万·14薪,大专,Python 英语 MATLAB C Shell,3-5年
63,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科, ,经验不限
64,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ C,经验不限
65,python,上海·浦东·金桥, , ,10000人以上,民营,1.1万-1.5万,大专, ,经验不限
66,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
67,python,上海·青浦·金泽, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2万·14薪,本科, ,经验不限
68,python,上海,日语Java/Python开发工程师,ユニークシステム株式会社,20-99人,外商独资,1.8万-3万,本科,Java 高级软件工程师,经验不限
69,python,上海·浦东·金桥,软件测试（python）-旗舰手机PDU, ,10000人以上,民营,9千-1.5万,本科, ,1-3年
70,python,上海·青浦·金泽, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.6万-3万·14薪,本科, ,经验不限
71,python,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科,Java 算法基础 数据结构 分布式技术,经验不限
72,python,上海·浦东·金桥,开发（python）-通信协议技术部, ,10000人以上,民营,9千-1.5万,本科, ,1-3年
73,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.6万-3万·14薪,本科, ,经验不限
74,python,上海·黄浦·打浦桥,微软云开发工程师,凯捷中国,10000人以上,外商独资,6千-7千·13薪,本科,Python,无经验
75,python,上海·浦东·金桥,软件测试（咪咕视讯、早九晚六）, ,10000人以上,民营,8千-1万,大专, ,3-5年
76,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·16薪,本科, ,无经验
77,python,上海·浦东·花木,python编程讲师, ,100-299人,民营,1万-2万,本科, ,经验不限
78,python,上海·浦东·金桥,python开发工程师, ,10000人以上,民营,1.3万-1.5万,大专, ,3-5年
79,python,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,JavaScript Python C++,经验不限
80,python,上海·闵行·浦江, ,河南浮源端科技有限公司,20人以下,民营,3万-5万,学历不限, ,3-5年
