,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,产品经理,上海·静安·静安寺,产品经理,上海亚太计算机信息系统有限公司,500-999人,国企,1.5万-2.1万,本科, ,3-5年
1,产品经理,上海·奉贤·金汇,产品经理(J10787),上海兰宝传感科技股份有限公司,500-999人,民营,1.5万-2万,本科, ,5-10年
2,产品经理,上海·普陀·真如,产品经理_尼龙锚栓&amp;密封胶,德国慧鱼集团,100-299人,外商独资,1万-1.6万·13薪,本科, ,3-5年
3,产品经理,上海·静安·静安寺,B端产品经理,上海亚太计算机信息系统有限公司,500-999人,国企,1万-2万,本科, ,3-5年
4,产品经理,上海·浦东·潍坊新村, ,赛得利(常州)纤维有限公司,1000-9999人,外商独资,2万-4万·14薪,本科, ,5-10年
5,产品经理,上海·嘉定·南翔,产品经理,格林酒店(上海)有限公司,10000人以上,民营,2万-2.1万,本科, ,3-5年
6,产品经理,上海·青浦·重固,产品经理-客服产品, ,10000人以上,上市公司,1.5万-3万·13薪,本科, ,3-5年
7,产品经理,上海·闵行·颛桥,产品经理, ,1000-9999人,民营,1.6万-1.8万,本科, ,3-5年
8,产品经理,上海·闵行·梅陇,产品经理,浙江勤达旅游用品有限公司上海分公司,100-299人,民营,2万-2.5万,本科, ,3-5年
9,产品经理,上海·青浦·重固,产品经理-商家产品 (MJ002064), ,10000人以上,上市公司,2万-3.5万·13薪,本科, ,3-5年
10,产品经理,上海·浦东·高东, ,保正(上海)供应链管理股份有限公司,100-299人,股份制企业,2.5万-2.8万·15薪,本科, ,5-10年
11,产品经理,上海·闵行·新虹,产品经理（国际保险系统）,上海微创软件股份有限公司,10000人以上,合资,2.1万-2.2万,本科, ,3-5年
12,产品经理,上海·青浦·重固,B端产品经理 (MJ001201), ,10000人以上,上市公司,1.5万-2.5万·13薪,本科, ,3-5年
13,产品经理,上海·闵行·颛桥,储能产品经理, ,1000-9999人,民营,1.5万-3万·16薪,本科, ,5-10年
14,产品经理,上海·浦东·金桥,产品经理（DMS产品）,上海微创软件股份有限公司,10000人以上,合资,2.6万-3万,本科, ,3-5年
15,产品经理,上海·青浦·重固,产品经理-客服方向 (MJ001941), ,10000人以上,上市公司,1.5万-2万·13薪,本科, ,1-3年
16,产品经理,上海·闵行·颛桥,海外产品经理, ,1000-9999人,民营,1.5万-2.5万·15薪,本科, ,5-10年
