,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,前端开发,上海·静安·静安寺, ,上海亚太计算机信息系统有限公司,500-999人,国企,1万-1.6万,大专, ,1-3年
1,前端开发,上海·徐汇·湖南路, ,福州一九科技有限公司,培训/辅导服务,20-99人,1万-1.4万·14薪,本科, ,1-3年
2,前端开发,上海·虹口·北外滩,前端开发工程师,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科, ,无经验
3,前端开发,上海·静安·大宁路,前端开发工程师,上海天补科技有限公司,100-299人,民营,1.5万-2.5万,本科, ,3-5年
4,前端开发,上海·杨浦·大桥, ,外企德科,1000-9999人,合资,1.5万-1.7万,本科, ,3-5年
5,前端开发,上海·徐汇·徐家汇,高级软件开发工程师（偏前端）,长煦信息技术咨询（上海）有限公司,20-99人,外商独资,1.5万-2.2万·13薪,本科, ,5-10年
6,前端开发,上海·徐汇·徐家汇, , ,1000-9999人,民营,1.5万-2万,本科, ,3-5年
7,前端开发,上海·浦东·周家渡,前端开发工程师,上海远资信息技术有限公司,100-299人,国企,5千-7千,大专, ,经验不限
8,前端开发,上海·长宁·新泾,前端开发工程师,上海微创软件股份有限公司,10000人以上,合资,1.9万-2.3万,本科, ,3-5年
9,前端开发,上海·浦东·曹路,前端开发,上海长庚信息技术股份有限公司,20-99人,民营,1.5万-2万,本科, ,3-5年
10,前端开发,上海·浦东·张江,Web前端开发工程师（化工、生物、制药相关专业或行业经验）,上海畅涵信息技术有限公司,20人以下,民营,1万-2万,大专, ,1-3年
11,前端开发,上海·徐汇·虹梅路, ,上海微创软件股份有限公司,10000人以上,合资,1.5万-1.7万,本科, ,1-3年
12,前端开发,上海·浦东·塘桥,React前端开发,上海锐赢,20-99人,民营,1.4万-2万,本科, ,3-5年
13,前端开发,上海·静安·北站, ,广州秒到信息科技有限公司,20人以下,民营,1.7万-1.9万,本科, ,经验不限
14,前端开发,上海·杨浦·新江湾城,游戏前端开发,上海微创软件股份有限公司,10000人以上,合资,1.7万-1.9万,本科, ,3-5年
15,前端开发,上海·普陀·长征,证券前端销售/接受小白/五险一金,上海中广云证券咨询有限公司,100-299人,民营,1万-2万,学历不限, ,经验不限
16,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,1-3年
17,前端开发,上海·浦东·张江, ,上海微创软件股份有限公司,10000人以上,合资,1.2万-1.3万,本科, ,1-3年
18,前端开发,上海·杨浦·大桥, ,重庆美音网络科技有限公司,500-999人,民营,8千-1.6万,大专, ,经验不限
19,前端开发,上海·浦东·陆家嘴, ,郑州沃克尔人力资源管理有限责任公司,20-99人,民营,8千-1.3万,学历不限, ,1-3年
20,前端开发,上海·浦东·张江, ,上海微创软件股份有限公司,10000人以上,合资,1.2万-1.3万,本科, ,1-3年
21,前端开发,上海·虹口·北外滩,系统运维工程师,上海益中亘泰(集团)股份有限公司,10000人以上,民营,8千-1.1万·14薪,本科,Java 低代码 前端,无经验
22,前端开发,上海·浦东·康桥,前端开发工程师（2024校招）, ,1000-9999人,上市公司,8千-1.3万,本科, ,经验不限
23,前端开发,上海·黄浦·五里桥,Angular前端开发工程师,上海微创软件股份有限公司,10000人以上,合资,2万-2.2万,本科, ,5-10年
24,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
25,前端开发,上海·青浦·徐泾, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,1-3年
26,前端开发,上海·杨浦·新江湾城,前端开发工程师,中国电子科技集团公司第三十六研究所,1000-9999人,国企,2千-3千,本科, ,经验不限
27,前端开发,上海·杨浦·大桥,酒旅-web前端开发工程师-供给优化, ,1000-9999人,上市公司,面议,本科, ,1-3年
28,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.2万·14薪,本科, ,经验不限
29,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
30,前端开发,上海·浦东·唐镇, ,广州秒到信息科技有限公司,20人以下,民营,1.6万-1.8万,本科,后端 前端 计算机,无经验
31,前端开发,上海·青浦·金泽, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2万·14薪,本科, ,经验不限
32,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.2万-2.4万,本科,C Javascript Spring,经验不限
33,前端开发,上海·浦东·潍坊新村, ,广州秒到信息科技有限公司,20人以下,民营,1.6万-1.8万,本科, ,经验不限
34,前端开发,上海·青浦·金泽, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
35,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1万-1.4万·14薪,本科, ,1-3年
36,前端开发,上海·青浦·徐泾, ,湖州轩逸人力资源服务有限公司,1000-9999人,民营,9千-1.1万,大专, ,经验不限
37,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·15薪,本科,Python C++ Java,经验不限
38,前端开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
39,前端开发,上海·浦东·塘桥,前端, ,1000-9999人,民营,1.4万-2.8万,大专,CSS Vue React,3-5年
40,前端开发,上海·闵行·吴泾, ,浙江邦芒企业服务有限公司,1000-9999人,民营,1.7万-2万,学历不限, ,1-3年
41,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ C Java 通信/物联网/自动化 嵌入式,经验不限
42,前端开发,上海·奉贤·金海,前端工程师（提供免费食宿）,普华诚信信息技术有限公司,100-299人,合资,5千-9千,本科,CSS JavaScript HTML5,经验不限
43,前端开发,上海·浦东·金桥,中级java工程师, ,500-999人,合资,9千-1.3万,本科, ,3-5年
44,前端开发,上海·静安·大宁路,软件开发工程师(前端)(J10335)（上海·实习）,卡斯柯信号有限公司（CASCO）,1000-9999人,合资,面议,硕士, ,无经验
45,前端开发,上海·闵行·新虹, , ,1000-9999人,上市公司,8千-1.3万,大专, ,1-3年
46,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,JavaScript C++ Python MySQL Spring,经验不限
47,前端开发,上海·闵行·浦锦,WEB前端开发-上海-自研直招, ,500-999人,上市公司,1.1万-1.6万,本科, ,1-3年
48,前端开发,上海·浦东·潍坊新村,web前端开发工程师,上海敖凸曼网络科技有限公司,互联网,100-299人,1.4万-1.8万,本科, ,1-3年
49,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科, ,经验不限
50,前端开发,上海·浦东·康桥,前端工程师,上海邦阔信息科技有限公司,20-99人,民营,5千-8千,学历不限, ,经验不限
51,前端开发,上海·松江·中山,软件开发工程师（MIS）,达丰（上海）电脑有限公司 ,10000人以上,合资,6千-8千,本科, ,无经验
52,前端开发,上海·杨浦·大桥,高级前端开发工程师-上海, ,1000-9999人,上市公司,面议,本科, ,1-3年
53,前端开发,上海·静安·大宁路,前端开发（线上一轮面试+周末双休+不倦）,上海信息人才服务有限公司,100-299人,国企,1.4万-1.6万,本科, ,3-5年
54,前端开发,上海·静安·天目西路, ,安徽佩禹企业管理咨询有限公司,餐饮服务,20人以下,2万-3万·13薪,学历不限, ,1-3年
55,前端开发,上海·金山·漕泾,内操操作工（前端）, ,20-99人,民营,9千-1.1万,大专, ,1-3年
56,前端开发,上海·浦东·张江, , ,1000-9999人,股份制企业,1.3万-1.4万,本科, ,经验不限
57,前端开发,上海·普陀·曹杨新村,前端开发工程师,仁卅信息科技(上海)有限公司,500-999人,外商独资,8千-9千·13薪,大专, ,1-3年
58,前端开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1万-2万·14薪,本科, ,经验不限
59,前端开发,上海·浦东·金桥, ,广州秒到信息科技有限公司,20人以下,民营,1.8万-2万,本科, ,无经验
60,前端开发,上海·宝山·杨行,中级前端开发工程师,上海碳信智成信息技术有限公司,100-299人,民营,1.5万-2.3万,大专, ,3-5年
61,前端开发,上海·浦东·北蔡,前端开发工程师,山东东弘国际船员管理有限公司,1000-9999人,民营,1.1万-1.5万,大专, ,3-5年
