,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,数据分析,上海·黄浦·南京东路, ,福建大千食坊贸易有限公司,100-299人,民营,6千-9千,大专, ,1-3年
1,数据分析,上海·长宁·江苏路,数据统计分析助理,上海旗盈企业管理咨询有限公司,100-299人,民营,6千-8千,大专, ,经验不限
2,数据分析,上海·黄浦·五里桥,数据分析工程师,翰竺科技(北京)有限公司,100-299人,外商独资,1万-1.5万,本科, ,1-3年
3,数据分析,上海·浦东·张江, , ,10000人以上,国企,8千-1.5万,本科, ,1-3年
4,数据分析,上海·静安·大宁路,国民链家+市场数据分析＋管培生底薪8000,上海链家地产,10000人以上,民营,8千-9千,本科, ,经验不限
5,数据分析,上海·宝山·罗店,物控助理文员, ,100-299人,股份制企业,4千-6千,中专/中技, ,经验不限
6,数据分析,上海·浦东·张江,财务专员/采购专员/数据分析专员（泰语/越南语/印尼语）,大连弗斯特高新人才发展管理有限公司,100-299人,民营,8千-1.2万·13薪,大专, ,经验不限
7,数据分析,上海·松江·永丰,运营助理,上海利茸贸易有限公司,20-99人,民营,4千-6千,学历不限, ,经验不限
8,数据分析,上海·南京东路,数据分析（2023届应届毕业生）, ,20-99人,事业单位,1万-1.5万,学历不限, ,经验不限
9,数据分析,上海·杨浦·平凉路,统计员（双休，五险一金）,杭州博盛达信息技术有限公司,互联网,300-499人,8千-1.2万,本科, ,经验不限
10,数据分析,上海·徐汇·虹梅路,数据清洗专员,大连勇歌科技有限公司,20-99人,股份制企业,7千-1万,大专, ,1年以下
11,数据分析,上海·浦东·潍坊新村,数据统计专员/助理, ,100-299人,合资,7千-9千,大专, ,经验不限
12,数据分析,上海·杨浦·大桥,数据专员(双休),宿州旭耀数字传媒科技有限公司,20-99人,股份制企业,9千-1.2万,本科,数据治理 数据挖掘,经验不限
13,数据分析,上海·闵行·新虹,国际贸易管培生, ,1000-9999人,民营,8千-1.2万·13薪,本科, ,无经验
14,数据分析,上海·徐汇·徐家汇, , ,1000-9999人,民营,8千-1.6万,大专, ,经验不限
15,数据分析,上海·静安·北站,业务助理（上海）,中建材大宗物联有限公司,100-299人,国企,8千-1.6万,本科, ,1-3年
