,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,数据开发,上海·浦东·张江,大数据开发工程师,上海飞旗网络技术股份有限公司,100-299人,股份制企业,2.5万-3.5万,本科, ,5-10年
1,数据开发,上海·徐家汇,大数据开发主管(J11890), ,1000-9999人,民营,2.5万-3.5万,本科, ,5-10年
2,数据开发,上海·浦东·高行,大数据开发工程师,上海微创软件股份有限公司,10000人以上,合资,2万-2.3万,本科, ,3-5年
3,数据开发,上海·虹口·曲阳路,大数据开发工程师, ,10000人以上,民营,1万-1.4万,本科, ,1-3年
4,数据开发,上海·浦东·陆家嘴, ,上海零霸格软件科技工作室(个人独资),20人以下,其它,2.1万-2.2万,学历不限, ,5-10年
5,数据开发,上海·黄浦·南京东路, , ,500-999人,合资,7千-8千·14薪,学历不限, ,经验不限
6,数据开发,上海·黄浦·淮海中路, ,山东申博人力资源有限公司,500-999人,民营,9千-1.2万,学历不限, ,经验不限
7,数据开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,1-3年
8,数据开发,上海·静安·大宁路, ,上海东浩人力资源有限公司,100-299人,国企,1.4万-1.7万,大专, ,3-5年
9,数据开发,上海·金山·亭林, , ,20-99人,民营,8千-1.2万,学历不限, ,经验不限
10,数据开发,上海·浦东·陆家嘴,仓库打包数据线月9000+,上海时时送供应链有限公司,100-299人,股份制企业,1.1万-1.6万,学历不限, ,经验不限
11,数据开发,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-3万·14薪,本科, ,经验不限
12,数据开发,上海·南京东路,数据分析（2023届应届毕业生）, ,20-99人,事业单位,1万-1.5万,学历不限, ,经验不限
13,数据开发,上海·静安·大宁路,国民链家+市场数据分析＋管培生底薪8000,上海链家地产,10000人以上,民营,8千-9千,本科, ,经验不限
14,数据开发,上海·青浦·徐泾, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,1-3年
15,数据开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
16,数据开发,上海·静安·南京西路, , ,1000-9999人,合资,8千-9千·14薪,大专, ,经验不限
17,数据开发,上海·普陀·石泉路, ,山东申博人力资源有限公司,500-999人,民营,9千-1.1万,学历不限, ,经验不限
18,数据开发,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
19,数据开发,上海·虹口·北外滩,数据工程师,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科,数据 数据库 SQL,无经验
20,数据开发,上海·静安·大宁路, ,上海东浩人力资源有限公司,100-299人,国企,1.4万-1.7万,本科,Oracle MySQL 达梦 虚谷 海量,1-3年
21,数据开发,上海·松江·中山, ,山东申博人力资源有限公司,500-999人,民营,9千-1万,学历不限, ,经验不限
22,数据开发,上海·松江·九里亭, ,上海秉昭人力资源有限公司,100-299人,事业单位,8千-1.6万,学历不限, ,经验不限
