,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,数据挖掘,上海·浦东·陆家嘴,业务工程师-校招,北京中软融鑫计算机系统工程有限公司,500-999人,股份制企业,8千-1.4万·13薪,本科,SQL,无经验
1,数据挖掘,上海·徐汇·虹梅路,数据清洗专员,大连勇歌科技有限公司,20-99人,股份制企业,7千-1万,大专, ,1年以下
2,数据挖掘,上海·浦东·康桥,数据RPA自动化GPT实习生,上海安进投资管理有限公司,20人以下,民营,120-200/天,本科, ,无经验
3,数据挖掘,上海·虹口·江湾,数据挖掘,上海天籍信息科技有限公司,20-99人,民营,1.2万-2.4万,本科, ,3-5年
4,数据挖掘,上海·浦东·张江,数据挖掘实习生,上海张江数学研究院,20-99人,事业单位,100-200/天,本科, ,无经验
5,数据挖掘,上海·长宁·江苏路,数据统计分析助理,上海旗盈企业管理咨询有限公司,100-299人,民营,6千-8千,大专, ,经验不限
6,数据挖掘,上海·浦东·张江,上海-金融数据分析主管-9-6双休-五险一金-, ,1000-9999人,民营,1.6万-1.8万·13薪,大专, ,1-3年
7,数据挖掘,上海·闵行·虹桥, , ,10000人以上,民营,1.1万-1.2万,本科, ,1-3年
8,数据挖掘,上海·嘉定·徐行,数据工程师（产品）,矽杰微电子(厦门)有限公司上海分公司,电子/半导体/集成电路,20-99人,1万-1.8万,本科,Python MATLAB 算法基础 C++,1-3年
9,数据挖掘,上海, , ,10000人以上,国企,1.5万-2.3万,本科, ,无经验
10,数据挖掘,上海·虹口·北外滩,数据工程师,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科, ,无经验
11,数据挖掘,上海·浦东·张江,数据调查分析（实习岗）,上海数治数据科技有限公司,20-99人,民营,150-200/天,本科, ,无经验
12,数据挖掘,上海·长宁·虹桥,数据分析师（助理）,上海慧之昀软件有限公司,IT服务,20-99人,6千-7千·13薪,大专,SQL SPSS SAS Tableau 运营数据分析 销售数据分析 商业数据分析,1年以下
13,数据挖掘,上海·静安·石门二路,数据分析员, ,100-299人,民营,7千-9千,本科, ,经验不限
14,数据挖掘,上海·浦东·陆家嘴,数据爬虫工程师,上海问道云人工智能科技有限公司,20-99人,民营,1.5万-2万,本科, ,3-5年
15,数据挖掘,上海·浦东·金桥,数据分析师,北京京铭宏硕科技有限公司,100-299人,民营,7千-9千·13薪,大专, ,经验不限
16,数据挖掘,上海·静安·南京西路, ,讯升(上海)人力资源有限公司成都分公司,100-299人,外商独资,1.8万-3.5万·14薪,学历不限,数据治理,经验不限
17,数据挖掘,上海·普陀·长寿路, ,山东浪潮数字服务有限公司,500-999人,国企,8千-1万,大专,数据建模 数据分析,3-5年
18,数据挖掘,上海·浦东·陆家嘴,数据管理服务助理（数据验证与研究方向）- 金融机构派驻,上海元年金融信息服务有限公司,100-299人,民营,8千-1.6万,本科, ,1-3年
19,数据挖掘,上海·杨浦·大桥, , ,1000-9999人,上市公司,面议,本科, ,1-3年
20,数据挖掘,上海·浦东·张江,数据分析岗,上海数治数据科技有限公司,20-99人,民营,5千-8千·14薪,大专, ,经验不限
21,数据挖掘,上海·浦东·陆家嘴,数据管理服务助理（数据统计方向）- 金融机构派驻,上海元年金融信息服务有限公司,100-299人,民营,8千-1.6万,本科, ,1-3年
22,数据挖掘,上海·浦东·张江,数据助理（派遣）,上海盛业实业有限公司,20-99人,外商独资,7千-9千·13薪,大专, ,经验不限
23,数据挖掘,上海·嘉定·南翔,上海-数据爬虫工程师,广州海之鑫营销策划有限公司,20-99人,其它,8千-1.2万,本科, ,3-5年
24,数据挖掘,上海·浦东·张江, ,安徽长至企业管理有限公司,企业服务,20人以下,1.5万-2.2万,本科, ,1-3年
25,数据挖掘,上海·徐汇·漕河泾,数据专员,上海三渡,100-299人,民营,7千-1万·13薪,本科, ,1-3年
26,数据挖掘,上海·虹口·北外滩,数据工程师（研发）,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科, ,无经验
27,数据挖掘,上海·浦东·唐镇,数据接入与治理岗（上海）,昆仑太科(北京)技术股份有限公司,300-499人,国企,8千-1.5万,本科, ,经验不限
28,数据挖掘,上海·浦东·张江, , ,10000人以上,国企,8千-1.5万,本科, ,1-3年
29,数据挖掘,上海·浦东·金桥,统计岗,上海数治数据科技有限公司,20-99人,民营,4千-7千·13薪,学历不限, ,经验不限
30,数据挖掘,上海·虹口·北外滩,大数据工程师,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科, ,无经验
31,数据挖掘,上海·静安·大宁路,数据开发（大数据）,上海信息人才服务有限公司,100-299人,国企,1.5万-2万,本科, ,1-3年
32,数据挖掘,上海·静安·天目西路,数据分析师（应届生）,敏捷艾科,20-99人,民营,8千-1万·13薪,本科, ,无经验
33,数据挖掘,上海·闵行·江川路,IOT数据采集工程师（上海-闵行区）,上海江崎格力高食品有限公司,1000-9999人,外商独资,面议,本科, ,经验不限
34,数据挖掘,上海·杨浦·平凉路,数据分析专员,上海利真,1000-9999人,民营,8千-1.2万·13薪,本科, ,1-3年
35,数据挖掘,上海·徐汇·虹梅路,数据治理实施顾问(J11926), ,1000-9999人,股份制企业,7千-1.3万,本科, ,经验不限
36,数据挖掘,上海·闵行·吴泾,数据分析师,高恩船舶维护技术咨询(上海)有限公司,20-99人,外商独资,8千-1.4万,学历不限, ,经验不限
37,数据挖掘,上海·虹口·江湾,管培生（数据分析）,上海天籍信息科技有限公司,20-99人,民营,7千-1万,硕士, ,1年以下
38,数据挖掘,上海·浦东·洋泾, ,深圳市天软科技开发有限公司,100-299人,民营,5千-1万,本科,数据分析,经验不限
39,数据挖掘,上海·普陀·长寿路, ,山东浪潮数字服务有限公司,500-999人,国企,9千-1万,大专,数据治理 Python,3-5年
40,数据挖掘,上海·闵行·吴泾,数据分析助理,阿伽科技(上海)有限公司,20人以下,民营,8千-1.2万,本科, ,1年以下
41,数据挖掘,上海·虹桥, , ,10000人以上,股份制企业,1万-2万·14薪,本科, ,1-3年
42,数据挖掘,上海·长宁·虹桥,霸王茶姬-初级数据分析-上海(A107625), ,1000-9999人,民营,8千-1万,本科, ,1-3年
43,数据挖掘,上海·徐汇·斜土路,sfe数据分析专员, ,1000-9999人,上市公司,1万-1.5万,本科, ,经验不限
44,数据挖掘,上海·浦东·潍坊新村, ,沂泽信息咨询有限公司北京分公司,咨询服务,20人以下,1.9万-2.5万,本科,BI工具,经验不限
45,数据挖掘,上海·宝山·高境,挖机工,上海良延环保科技发展有限公司,500-999人,民营,8千-9千,学历不限,包吃 包住 意外险 挖机证,经验不限
46,数据挖掘,上海·长宁·新华路,数据分析师,宽岱睿保(上海)信息技术有限公司,20-99人,民营,8千-1.5万·14薪,大专, ,经验不限
47,数据挖掘,上海·浦东·塘桥,手游数据分析, ,100-299人,股份制企业,1万-2万,学历不限,数据分析,1-3年
48,数据挖掘,上海·静安·南京西路, , ,1000-9999人,上市公司,9千-1.2万·14薪,本科, ,经验不限
49,数据挖掘,上海·浦东·张江, , ,10000人以上,国企,8千-1.5万,本科, ,1-3年
50,数据挖掘,上海·浦东·塘桥, ,紫金支点,1000-9999人,民营,1.6万-2.1万,大专, ,5-10年
51,数据挖掘,上海·黄浦·小东门,数据开发（现场面试+薪资面议）,上海信息人才服务有限公司,100-299人,国企,1.3万-2万,学历不限, ,5-10年
52,数据挖掘,上海·浦东·金桥, , ,1000-9999人,上市公司,7千-8千,大专,Python Sql,3-5年
53,数据挖掘,上海·浦东·洋泾, ,深圳市天软科技开发有限公司,100-299人,民营,6千-1万,本科, ,经验不限
54,数据挖掘,上海·静安·南京西路,数据助理,上海启冀文化传播有限公司,20-99人,民营,6千-8千,本科, ,1-3年
55,数据挖掘,上海·浦东·张江, , ,10000人以上,民营,8千-1万,大专,图像标注 语音标注 音频标注 视频标注 文本标注 大语言模型,3-5年
56,数据挖掘,上海·浦东·唐镇,数据管理部数据治理与应用岗, ,10000人以上,上市公司,1.2万-1.8万,本科, ,3-5年
57,数据挖掘,上海·青浦·重固,2024校招-网络政策助理 (MJ001567), ,10000人以上,上市公司,6千-1万,本科, ,经验不限
58,数据挖掘,上海·浦东·南码头路,数据治理工程师, ,100-299人,上市公司,8千-1.2万,本科, ,1-3年
59,数据挖掘,上海·徐汇·虹梅路,数据分析师（本科/计算机相关专业/学信网可查）,河南中杭信息科技有限公司,100-299人,民营,7千-8千,本科, ,1-3年
60,数据挖掘,上海·小东门,数据开发岗 (MJ002144),上海东证期货有限公司,500-999人,国企,1.5万-3万,本科, ,3-5年
61,数据挖掘,上海·浦东·张江,上海-金融催收数据分析专员-9-6双休-五险一金-月入9K+, ,1000-9999人,民营,9千-1.2万·13薪,大专, ,1-3年
62,数据挖掘,上海·虹口·北外滩,数据开发工程师, ,1000-9999人,上市公司,8千-1.5万,本科,数据治理 数据清洗 数据仓库,经验不限
63,数据挖掘,上海·浦东·金桥, , ,1000-9999人,上市公司,7千-8千,大专, ,3-5年
64,数据挖掘,上海·浦东·唐镇,数据管理部模型开发岗, ,10000人以上,上市公司,1.2万-1.8万,硕士,数仓开发 数据建模 数据采集 数据调研 数据清洗 数据治理 Python ODPS sql MySQL SQL Server,经验不限
65,数据挖掘,上海·浦东·金桥,数据工程师,上海宇量昇科技有限公司,电子/半导体/集成电路,300-499人,2万-4万·15薪,本科, ,经验不限
66,数据挖掘,上海·浦东·陆家嘴,数据分析员,南京飞勒克工业设备有限公司,100-299人,外商独资,8千-1.3万·14薪,本科,SQL SPSS SAS Python,1-3年
67,数据挖掘,上海·杨浦·大桥, ,北京万古恒信科技有限公司,300-499人,民营,7千-8千,大专, ,1-3年
68,数据挖掘,上海·浦东·金桥, , ,1000-9999人,上市公司,8千-1万,本科,数据分析,经验不限
69,数据挖掘,上海·杨浦·新江湾城,数据分析师-汉高（施华蔻）外包项目, ,1000-9999人,合资,1万-1.3万,本科, ,经验不限
70,数据挖掘,上海·静安·大宁路, , ,10000人以上,民营,2万-3万,本科, ,经验不限
71,数据挖掘,上海·徐汇·虹梅路,数据分析专员,北京丽景天诚环保工程有限公司,100-299人,民营,1万-1.3万,大专, ,1-3年
72,数据挖掘,上海·杨浦·控江路, ,迈锐人力资源服务(沈阳)有限公司,20-99人,民营,3万-4.5万·15薪,本科,SQL,5-10年
73,数据挖掘,上海·浦东·张江,数据分析师,中讯志远(武汉)科技有限公司,100-299人,民营,1万-1.5万,大专, ,1-3年
74,数据挖掘,上海·虹口·广中路,初级数据分析工程师,上海嘉勉信息技术有限公司,20-99人,民营,6千-8千,本科, ,1年以下
75,数据挖掘,上海·徐汇·徐家汇,数据支持分析员,高恩船舶维护技术咨询(上海)有限公司,20-99人,外商独资,9千-1.2万,本科, ,1-3年
76,数据挖掘,上海·静安·天目西路, ,敏捷艾科,20-99人,民营,1.2万-1.6万·13薪,本科, ,1-3年
77,数据挖掘,上海·浦东·潍坊新村,大数据征信产品经理（接受小白）,上海汇浙互联网金融信息服务有限公司,100-299人,民营,8千-9千,学历不限, ,无经验
78,数据挖掘,上海·黄浦·南京东路,数据统计专员（宁波）,宁波萌牙家科技有限公司,100-299人,民营,8千-1万,本科, ,1年以下
79,数据挖掘,上海·闵行·虹桥, ,上海光刻电子科技有限公司,20人以下,合资,5千-8千·13薪,大专, ,经验不限
80,数据挖掘,上海·静安·彭浦,数据治理顾问,河南驰鹏科技有限公司,20-99人,其它,1.5万-2.9万,本科,数据治理 数据建模 数据架构 Java,3-5年
81,数据挖掘,上海·浦东·陆家嘴,BI工程师（上海）, ,1000-9999人,上市公司,2万-2.5万,本科, ,3-5年
82,数据挖掘,上海·静安·大宁路, , ,10000人以上,民营,2万-3万,本科, ,5-10年
83,数据挖掘,上海·青浦·华新,大数据专家-大平台-团队管理经验,广东君润人力资源服务有限公司,10000人以上,民营,3万-4.5万,本科, ,5-10年
84,数据挖掘,上海·闵行·新虹, , ,1000-9999人,上市公司,1.3万-1.7万,本科,Python R语言,3-5年
85,数据挖掘,上海·静安·天目西路,CMT Specialist-完工数据专员,上海冠狮石化工程技术有限公司,100-299人,合资,2万-2.5万,大专, ,5-10年
86,数据挖掘,上海·黄浦·外滩, , ,1000-9999人,国企,面议,本科, ,3-5年
87,数据挖掘,上海·浦东·张江,数据建模分析师,上海数治数据科技有限公司,20-99人,民营,1.2万-1.6万,硕士, ,经验不限
88,数据挖掘,上海·静安·南京西路,电信大数据平台数据分析师,上海安迪人力资源服务有限公司,500-999人,股份制企业,2.5万-3万,本科, ,5-10年
89,数据挖掘,上海·陆家嘴,数据分析专员,南京飞勒克工业设备有限公司,100-299人,外商独资,9千-1.5万·14薪,本科, ,1-3年
90,数据挖掘,上海·杨浦·五角场,数据治理高级顾问/项目经理,上海天强管理咨询有限公司,100-299人,民营,1.4万-1.8万,本科, ,1-3年
91,数据挖掘,上海·浦东·唐镇, ,上海谷胜人力资源服务有限公司,100-299人,民营,3万-4万,本科, ,5-10年
92,数据挖掘,上海·闵行·虹桥, , ,10000人以上,股份制企业,2万-3万,本科,风险管理 系统开发 信用评分 反欺诈,1-3年
93,数据挖掘,上海·徐汇·斜土路,Blaze数据分析师,平安普惠融资担保有限公司上海分公司,1000-9999人,外商独资,8千-1.6万·15薪,本科, ,1-3年
94,数据挖掘,上海·浦东·花木,数据分析岗(J12829), ,1000-9999人,上市公司,面议,本科, ,1-3年
95,数据挖掘,上海·浦东·金桥, , ,500-999人,合资,1.6万-1.7万,本科, ,3-5年
96,数据挖掘,上海·南京东路,数据分析师,南京飞勒克工业设备有限公司,100-299人,外商独资,1万-1.5万·14薪,本科, ,1-3年
97,数据挖掘,上海·金山·亭林,数据开发工程师,上海南洋电缆有限公司,500-999人,民营,1.5万-2万·13薪,本科,OA系统 ERP系统 Oracle SQL Server MySQL PMP项目管理认证,3-5年
98,数据挖掘,上海·静安·南京西路,金融数据分析助理,昂策(上海)资产管理有限公司,20-99人,民营,7千-8千,本科, ,1-3年
99,数据挖掘,上海·长宁·天山路, ,艺科物流设备租赁(中国)有限公司,20-99人,外商独资,1万-1.5万·13薪,本科, ,3-5年
100,数据挖掘,上海·黄浦·瑞金二路, ,上海艾杰飞人才管理咨询有限公司,100-299人,外商独资,1.2万-2万,本科, ,1-3年
101,数据挖掘,上海·浦东·高行, , ,500-999人,上市公司,1.6万-2.5万,大专, ,5-10年
102,数据挖掘,上海·浦东·唐镇,数据开发工程师, ,300-499人,股份制企业,1.8万-2.1万,本科, ,5-10年
103,数据挖掘,上海·浦东·陆家嘴,数据开发（基金公司驻场+福利优）,上海锐赢,20-99人,民营,1.5万-2万,本科, ,1-3年
104,数据挖掘,上海·嘉定·华亭,数据顾问,中讯志远(武汉)科技有限公司,100-299人,民营,1万-1.5万,大专, ,3-5年
105,数据挖掘,上海·浦东·花木,数据分析师,成都社零科技有限公司,人工智能,20-99人,1.5万-2.3万·14薪,本科, ,1-3年
106,数据挖掘,上海, , ,10000人以上,民营,2.5万-5万,本科, ,5-10年
107,数据挖掘,上海·青浦·华新,大数据专家,智联猎头,1000-9999人,其它,3.5万-4.5万,本科, ,5-10年
108,数据挖掘,上海·徐汇·枫林路,经济分析师,上海无量寿文化传媒有限公司,20-99人,其它,1.2万-1.5万,本科, ,5-10年
109,数据挖掘,上海·浦东·塘桥,数据开发岗, ,500-999人,民营,1万-1.5万,本科, ,3-5年
110,数据挖掘,上海·青浦·华新,数据分析师(J14638), ,10000人以上,股份制企业,1.8万-3.5万·13薪,本科, ,3-5年
111,数据挖掘,上海·浦东·唐镇,银行正编-数据分析与模型建设,智联猎头,1000-9999人,其它,2.3万-3万,硕士, ,3-5年
112,数据挖掘,上海·浦东·潍坊新村,数据开发（报表开发+金融经验）,上海锐赢,20-99人,民营,1.2万-2万,大专, ,3-5年
113,数据挖掘,上海·浦东·三林,数据运营(J29743), ,10000人以上,合资,1.2万-2万,大专,销售数据运营 Power BI SQL excel,1-3年
114,数据挖掘,上海·普陀·长风新村,数据专员,上海安点企业管理咨询有限公司,20-99人,民营,8千-1.2万·13薪,硕士, ,1-3年
115,数据挖掘,上海·青浦·重固,风控数据分析师 (MJ001985), ,10000人以上,上市公司,1.5万-3万,学历不限,风控策略 SQL,3-5年
116,数据挖掘,上海·静安·南京西路,数据分析 BA,上海赞魅国际物流有限公司,20-99人,民营,1万-1.5万,大专, ,1-3年
117,数据挖掘,上海·黄浦·小东门,数据开发工程师（中原上海）,天宇正清科技有限公司,500-999人,民营,1.3万-1.7万,本科, ,3-5年
118,数据挖掘,上海·静安·大宁路,数据分析师,合肥乾筑智能科技有限公司,新能源,20人以下,2.5万-3.5万,本科, ,3-5年
119,数据挖掘,上海·浦东·张江,数据科学家（全额公积金）,北京宜通华瑞科技有限公司,1000-9999人,民营,2万-4万·13薪,本科,Python 机器学习算法 深度学习算法 推荐算法 PyTorch 数据开发 Spark Hadoop 数据分析,3-5年
120,数据挖掘,上海·浦东·潍坊新村, , ,1000-9999人,股份制企业,1.2万-1.5万,本科, ,3-5年
121,数据挖掘,上海·黄浦·五里桥,数据分析工程师,翰竺科技(北京)有限公司,100-299人,外商独资,1万-1.5万,本科, ,1-3年
122,数据挖掘,上海·浦东·三林, ,罗欣健康科技发展(北京)有限公司,500-999人,民营,6千-1.2万,本科, ,1-3年
123,数据挖掘,上海·浦东·潍坊新村,数据分析师（上海中心）(J14728), ,1000-9999人,上市公司,1.2万-2万·14薪,本科, ,3-5年
124,数据挖掘,上海·淮海中路,BI大数据架构师-上海北京大连,大连凯沃企业管理顾问有限公司,100-299人,民营,3万-5万·14薪,本科,大数据平台 大数据架构 BI,10年以上
125,数据挖掘,上海·静安·大宁路, , ,10000人以上,民营,2万-3万,本科, ,5-10年
126,数据挖掘,上海·黄浦·南京东路,BI商业数据分析课程/培训招生上海,51Testing,100-299人,民营,8千-1.2万,大专, ,经验不限
127,数据挖掘,上海·浦东·陆家嘴,数据管理服务助理（数据验证与研究方向）,交银企业管理服务(上海)有限公司,1000-9999人,国企,2.1万-2.5万,本科, ,1-3年
128,数据挖掘,上海·浦东·陆家嘴,大数据开发工程师,上海问道云人工智能科技有限公司,20-99人,民营,1.5万-2万,本科,数据开发,1-3年
129,数据挖掘,上海·松江·泗泾,数据安全治理规划师, ,500-999人,上市公司,3万-4万,本科, ,3-5年
130,数据挖掘,上海·浦东·潍坊新村,数据分析师,上海小方制药股份有限公司,500-999人,外商独资,1万-2万,大专, ,1-3年
131,数据挖掘,上海·闵行·七宝,数据处理工程师,南京思影科技有限公司,20-99人,民营,1万-2万·13薪,本科, ,经验不限
132,数据挖掘,上海·黄浦·南京东路, ,讯升(上海)人力资源有限公司成都分公司,100-299人,外商独资,2万-3.5万·16薪,本科, ,3-5年
133,数据挖掘,上海·浦东·张江, ,北京宜通华瑞科技有限公司,1000-9999人,民营,1.7万-2.5万·13薪,本科,Python 报表开发,3-5年
134,数据挖掘,上海·闵行·江川路,数据分析师（数据科学）, ,20-99人,民营,150-200/天,本科, ,无经验
135,数据挖掘,上海·徐汇·枫林路,客户分析师,上海无量寿文化传媒有限公司,20-99人,其它,1万-1.3万,本科, ,5-10年
136,数据挖掘,上海·静安·天目西路, ,北京仕邦达人力资源服务有限公司上海分公司,300-499人,合资,2万-3.5万,大专, ,5-10年
137,数据挖掘,上海·浦东·陆家嘴, ,外企德科,1000-9999人,合资,1.4万-1.9万,本科, ,3-5年
138,数据挖掘,上海·黄浦·南京东路,数据开发,上海共联通信信息发展有限公司,500-999人,国企,1.5万-3万,本科, ,5-10年
139,数据挖掘,上海·浦东·三林,大数据开发（现场面试）,深圳极联信息技术股份有限公司,500-999人,民营,1.3万-1.4万,本科, ,3-5年
140,数据挖掘,上海·静安·曹家渡,数据完整性顾问,上海慧智思客普管理咨询有限公司,20人以下,民营,1万-2万·13薪,本科, ,1-3年
141,数据挖掘,上海·长宁·新泾,数据分析, ,10000人以上,民营,2万-4万·13薪,本科, ,5-10年
142,数据挖掘,上海·闵行·吴泾, ,汇智优才(沈阳)人力资源服务有限公司,20-99人,民营,2.5万-3.5万,本科, ,5-10年
143,数据挖掘,上海·徐汇·虹梅路,数据库设计师, ,1000-9999人,上市公司,8千-1.6万·14薪,本科, ,3-5年
144,数据挖掘,上海·静安·大宁路,数据治理顾问, ,10000人以上,其它,1.5万-2万,大专, ,3-5年
145,数据挖掘,上海·浦东·张江,高级数据开发工程师,上海西信软件工程有限公司,100-299人,民营,1.5万-2.5万,大专, ,5-10年
146,数据挖掘,上海·长宁·新泾, ,南阳添才翰格信息科技有限公司,500-999人,民营,1.5万-2万,本科,计算机专业 数学/统计学专业 SQL R Python 平台类产品 工具类产品 信用卡策略,3-5年
147,数据挖掘,上海·宝山·大场,航运数据研究员, ,20-99人,民营,9千-1.5万·13薪,本科, ,1-3年
148,数据挖掘,上海·浦东·张江,数据专家,上海微创软件股份有限公司,10000人以上,合资,3万-4万·13薪,本科, ,3-5年
149,数据挖掘,上海·浦东·陆家嘴,法再集团BeeTech - 数据科学家-Senior,北京一蜂科技有限公司,20-99人,外商独资,2.5万-4万,硕士, ,3-5年
150,数据挖掘,上海·浦东·康桥,数据开发,上海共联通信信息发展有限公司,500-999人,国企,1.5万-3万,本科, ,5-10年
151,数据挖掘,上海·杨浦·新江湾城,大数据处理总师（上海研发中心）(J10318),中国电子科技集团公司第三十六研究所,1000-9999人,国企,1.5万-3万,博士, ,3-5年
152,数据挖掘,上海·浦东·金桥,数据治理工程师,维世致新(上海)智能技术有限公司,20-99人,合资,1.2万-1.6万·13薪,本科, ,1-3年
153,数据挖掘,上海·闵行·七宝,数据处理工程师,南京思影科技有限公司,20-99人,民营,1.5万-2.5万,本科, ,经验不限
154,数据挖掘,上海·徐汇·徐家汇,数据分析, ,1000-9999人,股份制企业,1.2万-1.6万,本科, ,3-5年
155,数据挖掘,上海·杨浦·大桥,（BI)高级/资深数据分析师,国泰财产保险有限责任公司,500-999人,合资,3万-4万·15薪,本科, ,5-10年
156,数据挖掘,上海·徐汇·枫林路, , ,1000-9999人,民营,1.4万-1.9万,本科, ,5-10年
157,数据挖掘,上海·浦东·三林, ,深圳极联信息技术股份有限公司,500-999人,民营,1.2万-1.4万,本科, ,3-5年
158,数据挖掘,上海·闵行·新虹,数据分析, ,1000-9999人,上市公司,1万-1.3万,大专, ,3-5年
159,数据挖掘,上海·闵行·七宝,数据分析-数据组负责人, ,1000-9999人,民营,1.8万-2.5万,本科, ,5-10年
160,数据挖掘,上海·徐汇·天平路,数据分析师,上海德慧信息技术有限公司,100-299人,民营,2万-3万·13薪,硕士, ,经验不限
161,数据挖掘,上海·闵行·新虹,数据分析主管, ,10000人以上,上市公司,1万-1.5万·13薪,本科, ,3-5年
162,数据挖掘,上海·浦东·南汇新城,数据治理工程师（临港）,维世致新(上海)智能技术有限公司,20-99人,合资,1.2万-1.6万·13薪,本科, ,1-3年
163,数据挖掘,上海·浦东·陆家嘴,数据管理服务助理（数据统计方向）,交银企业管理服务(上海)有限公司,1000-9999人,国企,1.5万-1.7万,本科, ,1-3年
164,数据挖掘,上海·长宁·周家桥, ,北京万古恒信科技有限公司,300-499人,民营,1.5万-1.7万,硕士, ,1-3年
165,数据挖掘,上海·普陀·长风新村,大数据平台工程师（Apache Superset方向）, ,10000人以上,民营,3万-3.5万,本科,APACHE SUPERSET,5-10年
166,数据挖掘,上海·浦东·周家渡,数据安全岗,银联国际有限公司,500-999人,国企,面议,本科, ,1-3年
167,数据挖掘,上海·浦东·北蔡, ,外企德科,1000-9999人,合资,1.2万-1.8万·13薪,本科, ,3-5年
168,数据挖掘,上海·浦东·南码头路,高级大数据开发工程师,杭州中港科技有限公司,300-499人,民营,1.5万-2.5万,本科,Hadoop Hive Flink Spark Python 数据平台,5-10年
169,数据挖掘,上海·浦东·花木,数据运营分析,南京飞勒克工业设备有限公司,100-299人,外商独资,1万-1.5万·14薪,本科,电商数据运营 商业数据分析 行业数据分析 策略运营 销售数据运营 经营数据分析 市场数据分析 增长运营,1-3年
170,数据挖掘,上海·徐汇·虹梅路,大数据治理专家, ,10000人以上,上市公司,面议,本科,Hadoop 数据治理 数据架构 DATAARTS,5-10年
171,数据挖掘,上海·长宁·新泾,数据分析师,永亿(广州)网络科技有限公司,500-999人,民营,3万-6万·16薪,本科, ,5-10年
172,数据挖掘,上海·徐汇·田林, ,上海微创软件股份有限公司,10000人以上,合资,1.6万-1.8万,本科, ,5-10年
173,数据挖掘,上海·黄浦·南京东路,数据开发,上海共联通信信息发展有限公司,500-999人,国企,1.5万-3万,本科, ,5-10年
174,数据挖掘,上海·闵行·新虹,数据工程师, ,500-999人,民营,2万-3万·14薪,本科,Python Sql ETL工具 DataStage Kettle DataX,3-5年
