,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,硬件开发,上海·徐汇·虹梅路,工程师 （嵌入式应用系统的软硬件开发）,中芝软件系统(上海)有限公司,20-99人,外商独资,8千-1万·13薪,本科, ,无经验
1,硬件开发,上海·浦东·金桥, , ,10000人以上,民营,1万-1.5万,本科, ,1-3年
2,硬件开发,上海·奉贤·青村,bms硬件开发工程师,上海赛南能源有限公司,20-99人,民营,1.8万-3.5万·13薪,大专, ,经验不限
3,硬件开发,上海·徐汇·虹梅路,硬件开发工程师,柏飞电子,100-299人,国企,2万-3万,本科, ,1-3年
4,硬件开发,上海·浦东·张江,硬件开发测试工程师,上海微创软件股份有限公司,10000人以上,合资,1万-1.8万,本科, ,3-5年
5,硬件开发,上海·松江·岳阳,硬件开发成员,凯士电子(浙江)有限公司,100-299人,外商独资,8千-1.3万,大专, ,经验不限
6,硬件开发,上海·徐汇·虹梅路,硬件开发工程师（计算机方向）,柏飞电子,100-299人,国企,2.5万-3.5万,本科, ,3-5年
7,硬件开发,上海·青浦·香花桥, ,颖润人力资源(昆山)有限公司,1000-9999人,民营,6千-8千,高中, ,1年以下
8,硬件开发,上海·松江·中山,助理硬件工程师,上海军陶科技股份有限公司,300-499人,股份制企业,6千-1万,大专, ,1年以下
9,硬件开发,上海·松江·新桥,硬件开发成员,凯士电子(浙江)有限公司,100-299人,外商独资,8千-1.3万,大专, ,经验不限
10,硬件开发,上海·浦东·金桥,"软件开发（Java,python）-硬件工程测试部", ,10000人以上,民营,9千-1.5万,本科, ,3-5年
11,硬件开发,上海·松江·小昆山, ,上海尼信电子科技有限公司,20-99人,股份制企业,6千-1.2万,本科, ,经验不限
12,硬件开发,上海·闵行·浦江,硬件工程师实习生（2024届在校生，面试通过后可马上上岗）,上海冠显光电科技有限公司,100-299人,民营,6千-1万,本科, ,1年以下
13,硬件开发,上海·浦东·张江, , ,10000人以上,民营,9千-1.8万,大专, ,3-5年
14,硬件开发,上海·青浦·香花桥,产品测试技术员, ,100-299人,上市公司,4千-5千,大专, ,1年以下
15,硬件开发,上海·青浦·徐泾, ,上海耘瓴端网络科技有限公司,300-499人,民营,6千-8千,大专,整机测试 示波器 万用表 性能测试,1-3年
16,硬件开发,上海·浦东·金桥,软件开发（Android）-硬件工程测试部, ,10000人以上,民营,9千-1.5万,本科, ,1-3年
17,硬件开发,上海·徐汇·虹梅路,硬件开发工程师,上海联和东海信息技术有限公司,100-299人,民营,1.6万-2.4万,本科, ,1-3年
18,硬件开发,上海·青浦·徐泾,硬件嵌入式开发工程师：PCB、C/C++,上海道风信息科技有限公司,20人以下,民营,6千-1万,本科, ,经验不限
19,硬件开发,上海·嘉定·徐行,测试员,上光通信技术(上海)有限公司,通信/网络设备,20-99人,5千-8千·13薪,高中, ,经验不限
20,硬件开发,上海·松江·石湖荡,软/硬件工程师实习生,洛坦电子科技(上海)有限公司,20-99人,民营,100-200/天,大专, ,无经验
21,硬件开发,上海·普陀·长征,辅助开发-硬件,上海凌世,20-99人,民营,8千-1万,本科, ,无经验
22,硬件开发,上海·浦东·金桥, , ,10000人以上,民营,1.2万-1.7万,大专, ,经验不限
23,硬件开发,上海·浦东·南汇新城,卫星测试岗,上海格思信息技术有限公司,20-99人,国企,8千-1.5万·13薪,本科, ,经验不限
24,硬件开发,上海·金山·亭林,电子硬件助理工程师,上海山潜智能科技有限公司,20-99人,民营,5千-7千,大专, ,1-3年
25,硬件开发,上海·嘉定·马陆,硬件开发工程师, ,1000-9999人,股份制企业,1万-2万,本科, ,经验不限
26,硬件开发,上海·徐汇·虹梅路,硬件开发工程师,才纵(上海)工程技术有限公司,20-99人,外商独资,1.1万-2.2万·13薪,大专, ,3-5年
