,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,算法,上海·浦东·张江,高级人工智能算法工程师,上海飞旗网络技术股份有限公司,100-299人,股份制企业,2.9万-4万,硕士, ,5-10年
1,算法,上海·浦东·南汇新城,视觉算法工程师, ,1000-9999人,股份制企业,1.5万-3万,本科, ,3-5年
2,算法,上海·浦东·张江,算法工程师,上海微创软件股份有限公司,10000人以上,合资,1.9万-2万,本科, ,3-5年
3,算法,上海·嘉定·江桥, , ,300-499人,股份制企业,3万-4万,本科, ,5-10年
4,算法,上海·嘉定·外冈,ai算法工程师,索提斯云智控科技(上海)有限公司,20-99人,民营,1.5万-2万·13薪,本科, ,3-5年
5,算法,上海·闵行·颛桥,高级算法工程师-BMS, ,1000-9999人,民营,2.5万-3.5万·16薪,本科, ,3-5年
6,算法,上海·静安·石门二路,算法工程师, ,100-299人,外商独资,1万-1.8万,本科, ,5-10年
7,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,1-3年
8,算法,上海·浦东·康桥,研发应用软件开发-机器人, ,10000人以上,外商独资,面议,硕士, ,经验不限
9,算法,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
10,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·15薪,本科, ,经验不限
11,算法,上海,C++/Java引擎研发工程师（推荐搜索方向）, ,1000-9999人,上市公司,面议,本科, ,1-3年
12,算法,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·16薪,本科, ,经验不限
13,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
14,算法,上海·闵行·吴泾,算法实习生,宁波华科润生物科技有限公司,100-299人,民营,4千-7千,本科, ,无经验
15,算法,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·16薪,本科, ,经验不限
16,算法,上海·青浦·徐泾, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,1-3年
17,算法,上海·虹口·嘉兴路,AI算法工程师-国企项目G00677,上海福迈迪工程技术有限公司,1000-9999人,外商独资,1万-2万,本科, ,经验不限
18,算法,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.6万-3万·14薪,本科, ,1-3年
19,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
20,算法,上海·静安·大宁路,数学建模与机器学习算法工程师,上海智态数据科技有限公司,100-299人,民营,1.5万-3万·14薪,本科, ,3-5年
21,算法,上海·浦东·洋泾, ,上海能源建设工程设计研究有限公司,100-299人,国企,1万-1.5万,本科, ,经验不限
22,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·15薪,本科, ,1-3年
23,算法,上海·浦东·金桥, ,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科, ,经验不限
24,算法,上海·静安·石门二路,算法工程师,北京琪达信通科技有限公司,通信/网络设备,100-299人,3万-6万·15薪,本科, ,经验不限
25,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2.8万·16薪,本科, ,经验不限
26,算法,上海·青浦·金泽, ,外企德科,1000-9999人,合资,2.1万-3.5万·14薪,本科, ,5-10年
27,算法,上海·黄浦·外滩, ,平顶山翰格信息咨询有限公司,IT服务,20-99人,2.3万-3万,本科, ,3-5年
28,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科, ,经验不限
29,算法,上海·青浦·金泽, ,外企德科,1000-9999人,合资,1.3万-2.6万,本科, ,经验不限
30,算法,上海·徐汇·徐家汇, ,上海旗盈企业管理咨询有限公司,100-299人,民营,1.5万-2.5万,本科, ,1年以下
31,算法,上海·浦东·金桥, ,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科, ,经验不限
32,算法,上海·浦东·张江,自动化算法工程师(J11746), ,10000人以上,上市公司,1万-1.5万·15薪,硕士, ,经验不限
