,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
0,运维,上海·普陀, ,上海亚太计算机信息系统有限公司,500-999人,国企,5千-7千,大专, ,1-3年
1,运维,上海·黄浦·五里桥,桌面运维工程师,翰竺科技(北京)有限公司,100-299人,外商独资,8千-9千,学历不限, ,5-10年
2,运维,上海·徐汇·湖南路, ,福州一九科技有限公司,培训/辅导服务,20-99人,1万-1.4万·14薪,本科, ,1-3年
3,运维,上海·普陀, ,上海亚太计算机信息系统有限公司,500-999人,国企,5千-7千,高中, ,经验不限
4,运维,上海·静安·大宁路,运维工程师,上海天补科技有限公司,100-299人,民营,1.5万-2.5万,本科, ,3-5年
5,运维,上海·宝山·淞南,项目运维工程师,上海科技网络通信有限公司,100-299人,国企,7千-1.2万·14薪,本科, ,1-3年
6,运维,上海·闵行·虹桥,服务器运维与虚拟化工程师-驻场,上海泛翔网络科技有限公司,500-999人,民营,2万-2.5万,本科, ,3-5年
7,运维,上海·闵行·颛桥,IT运营工程师-桌面运维, ,1000-9999人,民营,5千-7千·15薪,大专, ,3-5年
8,运维,上海·闵行·吴泾,桌面运维工程师,上海微创软件股份有限公司,10000人以上,合资,150-200/天,大专, ,无经验
9,运维,上海·浦东·潍坊新村, , ,1000-9999人,上市公司,1.1万-1.5万,本科, ,3-5年
10,运维,上海·奉贤·南桥, ,天津安能新能源技术有限公司,零售/批发,20-99人,7千-1.2万·13薪,中专/中技, ,经验不限
11,运维,上海·杨浦·新江湾城,桌面运维工程师,上海微创软件股份有限公司,10000人以上,合资,8千-1万,本科, ,1-3年
12,运维,上海·浦东·潍坊新村,系统运维工程师, ,1000-9999人,上市公司,1万-1.5万,本科, ,1-3年
13,运维,上海·虹口·北外滩, ,天津安能新能源技术有限公司,零售/批发,20-99人,8千-1.2万,中专/中技, ,经验不限
14,运维,上海·杨浦·新江湾城, ,上海微创软件股份有限公司,10000人以上,合资,1.4万-1.5万,大专, ,1-3年
15,运维,上海·浦东·潍坊新村,网络运维工程师, ,1000-9999人,上市公司,8千-1.5万,本科, ,3-5年
16,运维,上海·黄浦·南京东路,风力发电运维工程师,山西北方节能新能源有限公司,20-99人,民营,6千-1.1万·13薪,学历不限, ,经验不限
17,运维,上海·静安·天目西路, ,河北蜂巢优置人力资源服务有限公司,100-299人,上市公司,9千-1.8万,学历不限, ,经验不限
18,运维,上海·黄浦·外滩, ,河北世源会展服务有限公司,20-99人,民营,6千-1.2万,学历不限, ,经验不限
19,运维,上海·黄浦·南京东路, ,河北雅基新能源科技有限公司,新能源,100-299人,6千-1.2万,中专/中技, ,经验不限
20,运维,上海·黄浦·南京东路, ,津鑫(天津)电力科学研究有限公司,20-99人,其它,6千-9千,大专, ,经验不限
21,运维,上海·浦东·张江, ,安徽长至企业管理有限公司,企业服务,20人以下,1.2万-2.4万,大专, ,1-3年
22,运维,上海·黄浦·南京东路, ,天津光普电力科技有限公司,100-299人,其它,1万-1.2万,中专/中技, ,经验不限
23,运维,上海·静安·大宁路,初级开发运维工程师,上海九州智慧医学影像研究院,在线医疗,20-99人,1万-1.2万,本科, ,1年以下
24,运维,上海·普陀·长风新村, ,河北泰坤企业管理有限公司,人力资源服务,300-499人,6千-1.2万,中专/中技, ,经验不限
25,运维,上海·徐汇·虹梅路,运维开发工程师（本科/计算机相关专业/学信网可查）,河南中杭信息科技有限公司,100-299人,民营,8千-9千,本科, ,1-3年
26,运维,上海·普陀·曹杨新村,运维工程师,郑州多弥电子科技有限公司,20-99人,民营,8千-1.1万,大专, ,经验不限
28,运维,上海·松江·九亭,网络运维工程师,西安隆实信息科技有限公司,IT服务,20人以下,8千-1.2万,大专, ,经验不限
29,运维,上海·黄浦·南京东路, ,天津光普电力科技有限公司,100-299人,其它,7千-9千,中专/中技, ,经验不限
30,运维,上海·浦东·陆家嘴,运维工程师（2024届）, ,500-999人,民营,6千-9千,本科, ,经验不限
31,运维,上海·南京东路,动车组运维, ,20-99人,事业单位,8千-1万,大专, ,经验不限
32,运维,上海·浦东·南码头路, ,上海赞华实业有限公司,100-299人,民营,7千-1.2万,学历不限, ,经验不限
33,运维,上海·松江·洞泾,交付运维工程师,上海淡竹体育科技有限公司,100-299人,民营,6千-1万,本科, ,经验不限
34,运维,上海·静安·共和新路, ,上海罗泰信息技术有限公司,20-99人,民营,6千-1.1万,大专, ,1-3年
35,运维,上海·杨浦·大桥,网络运维工程师,宿州旭耀数字传媒科技有限公司,20-99人,股份制企业,1万-1.3万,本科, ,1年以下
