Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
1,python,上海·嘉定·南翔,python,格林酒店(上海)有限公司,民营,本科,无要求,3-5年,180000.0,240000.0,10000.0,
2,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,140000.0,280000.0,10000.0,
3,python,上海·嘉定·南翔,上海python/爬虫工程师,广州海之鑫营销策划有限公司,其它,本科,无要求,3-5年,96000.0,144000.0,20.0,99.0
4,python,上海·浦东·金桥,python,湖南海纳明人机电有限公司,民营,学历不限,Django Flask Pandas Python git LINUX操作系统,经验不限,208000.0,416000.0,100.0,299.0
5,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,238000.0,420000.0,10000.0,
6,python,上海·浦东·金桥,python,外企德科,合资,本科,C Javascript Spring,经验不限,144000.0,288000.0,1000.0,9999.0
7,python,上海·浦东·花木,运营中心-证券部-RPA研发实习生G00794,中信期货有限公司,国企,本科,Python SQL 数据库 VBA,经验不限,12000.0,24000.0,1000.0,9999.0
8,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Java Python c C++,经验不限,154000.0,308000.0,10000.0,
9,python,上海·黄浦·小东门,python,外企德科,合资,本科,无要求,经验不限,224000.0,420000.0,1000.0,9999.0
10,python,上海·静安·曹家渡,python爬虫工程师/爬虫后端工程师,其他,合资,本科,无要求,1-3年,144000.0,192000.0,500.0,999.0
11,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,182000.0,364000.0,10000.0,
12,python,上海·浦东·金桥,python,外企德科,合资,本科,Java,经验不限,180000.0,360000.0,1000.0,9999.0
13,python,上海·黄浦·南京东路,python全栈自动化测试课程/培训招生上海,51Testing,民营,大专,无要求,经验不限,96000.0,144000.0,100.0,299.0
14,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python C++ Spring Java JavaScript,1-3年,210000.0,420000.0,10000.0,
15,python,上海·浦东·金桥,Java/c++/c/python/js/php/测试/线上面试,外企德科,合资,本科,无要求,经验不限,180000.0,360000.0,1000.0,9999.0
16,python,上海·浦东·张江,python,首聘(北京)科技有限公司,民营,大专,Python Java GO Shell,1-3年,192000.0,216000.0,1000.0,9999.0
17,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,420000.0,10000.0,
18,python,上海·浦东·金桥,python java c c++ js开发工程师,外企德科,合资,本科,无要求,经验不限,210000.0,420000.0,1000.0,9999.0
19,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
20,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,182000.0,364000.0,10000.0,
21,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,210000.0,420000.0,1000.0,9999.0
22,python,上海·黄浦·南京东路,python爬虫工程师,北京小确信安全防范科技有限公司,其它,大专,无要求,3-5年,180000.0,324000.0,20.0,99.0
23,python,上海·青浦·徐泾,python,外企德科数字技术有限公司,,本科,Python C++ Spring Java JavaScript,1-3年,210000.0,420000.0,10000.0,
24,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,320000.0,640000.0,1000.0,9999.0
25,python,上海·浦东·金桥,java/python/c/javascript/golang开发工程师,其他,民营,本科,无要求,经验不限,240000.0,480000.0,1000.0,9999.0
26,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,C++ C Python,经验不限,224000.0,420000.0,10000.0,
27,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,210000.0,420000.0,1000.0,9999.0
28,python,上海·闵行·浦江,爬虫开发工程师,其他,民营,大专,Python 爬虫开发,1-3年,117000.0,208000.0,20.0,99.0
29,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,420000.0,10000.0,
