Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
0,前端开发,上海·静安·静安寺,前端开发,上海亚太计算机信息系统有限公司,500-999人,国企,1万-1.6万,大专,无要求,1-3年,120000.0,192000.0
1,前端开发,上海·徐汇·湖南路,前端开发,福州一九科技有限公司,培训/辅导服务,20-99人,1万-1.4万·14薪,本科,无要求,1-3年,140000.0,196000.0
2,前端开发,上海·虹口·北外滩,前端开发工程师,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科,无要求,无经验,96000.0,132000.0
3,前端开发,上海·静安·大宁路,前端开发工程师,上海天补科技有限公司,100-299人,民营,1.5万-2.5万,本科,无要求,3-5年,180000.0,300000.0
4,前端开发,上海·杨浦·大桥,前端开发,外企德科,1000-9999人,合资,1.5万-1.7万,本科,无要求,3-5年,180000.0,204000.0
5,前端开发,上海·徐汇·徐家汇,高级软件开发工程师（偏前端）,长煦信息技术咨询（上海）有限公司,20-99人,外商独资,1.5万-2.2万·13薪,本科,无要求,5-10年,195000.0,286000.0
6,前端开发,上海·徐汇·徐家汇,前端开发,其他,1000-9999人,民营,1.5万-2万,本科,无要求,3-5年,180000.0,240000.0
7,前端开发,上海·浦东·周家渡,前端开发工程师,上海远资信息技术有限公司,100-299人,国企,5千-7千,大专,无要求,经验不限,60000.0,84000.0
8,前端开发,上海·长宁·新泾,前端开发工程师,上海微创软件股份有限公司,10000人以上,合资,1.9万-2.3万,本科,无要求,3-5年,228000.0,276000.0
9,前端开发,上海·浦东·曹路,前端开发,上海长庚信息技术股份有限公司,20-99人,民营,1.5万-2万,本科,无要求,3-5年,180000.0,240000.0
10,前端开发,上海·浦东·张江,Web前端开发工程师（化工、生物、制药相关专业或行业经验）,上海畅涵信息技术有限公司,20人以下,民营,1万-2万,大专,无要求,1-3年,120000.0,240000.0
11,前端开发,上海·徐汇·虹梅路,前端开发,上海微创软件股份有限公司,10000人以上,合资,1.5万-1.7万,本科,无要求,1-3年,180000.0,204000.0
12,前端开发,上海·浦东·塘桥,React前端开发,上海锐赢,20-99人,民营,1.4万-2万,本科,无要求,3-5年,168000.0,240000.0
