Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
0,数据挖掘,上海·浦东·陆家嘴,业务工程师-校招,北京中软融鑫计算机系统工程有限公司,股份制企业,本科,SQL,无经验,104000.0,182000.0,500.0,999.0
1,数据挖掘,上海·徐汇·虹梅路,数据清洗专员,大连勇歌科技有限公司,股份制企业,大专,无要求,1年以下,84000.0,120000.0,20.0,99.0
3,数据挖掘,上海·虹口·江湾,数据挖掘,上海天籍信息科技有限公司,民营,本科,无要求,3-5年,144000.0,288000.0,20.0,99.0
5,数据挖掘,上海·长宁·江苏路,数据统计分析助理,上海旗盈企业管理咨询有限公司,民营,大专,无要求,经验不限,72000.0,96000.0,100.0,299.0
6,数据挖掘,上海·浦东·张江,上海-金融数据分析主管-9-6双休-五险一金-,其他,民营,大专,无要求,1-3年,208000.0,234000.0,1000.0,9999.0
7,数据挖掘,上海·闵行·虹桥,数据挖掘,其他,民营,本科,无要求,1-3年,132000.0,144000.0,10000.0,
8,数据挖掘,上海·嘉定·徐行,数据工程师（产品）,矽杰微电子(厦门)有限公司上海分公司,,本科,Python MATLAB 算法基础 C++,1-3年,120000.0,216000.0,20.0,99.0
9,数据挖掘,上海,数据挖掘,其他,国企,本科,无要求,无经验,180000.0,276000.0,10000.0,
10,数据挖掘,上海·虹口·北外滩,数据工程师,上海胜蓝软件技术服务有限公司,民营,本科,无要求,无经验,96000.0,132000.0,20.0,99.0
12,数据挖掘,上海·长宁·虹桥,数据分析师（助理）,上海慧之昀软件有限公司,,大专,SQL SPSS SAS Tableau 运营数据分析 销售数据分析 商业数据分析,1年以下,78000.0,91000.0,20.0,99.0
13,数据挖掘,上海·静安·石门二路,数据分析员,其他,民营,本科,无要求,经验不限,84000.0,108000.0,100.0,299.0
14,数据挖掘,上海·浦东·陆家嘴,数据爬虫工程师,上海问道云人工智能科技有限公司,民营,本科,无要求,3-5年,180000.0,240000.0,20.0,99.0
15,数据挖掘,上海·浦东·金桥,数据分析师,北京京铭宏硕科技有限公司,民营,大专,无要求,经验不限,91000.0,117000.0,100.0,299.0
16,数据挖掘,上海·静安·南京西路,数据挖掘,讯升(上海)人力资源有限公司成都分公司,外商独资,学历不限,数据治理,经验不限,252000.0,490000.0,100.0,299.0
17,数据挖掘,上海·普陀·长寿路,数据挖掘,山东浪潮数字服务有限公司,国企,大专,数据建模 数据分析,3-5年,96000.0,120000.0,500.0,999.0
18,数据挖掘,上海·浦东·陆家嘴,数据管理服务助理（数据验证与研究方向）- 金融机构派驻,上海元年金融信息服务有限公司,民营,本科,无要求,1-3年,96000.0,192000.0,100.0,299.0
20,数据挖掘,上海·浦东·张江,数据分析岗,上海数治数据科技有限公司,民营,大专,无要求,经验不限,70000.0,112000.0,20.0,99.0
21,数据挖掘,上海·浦东·陆家嘴,数据管理服务助理（数据统计方向）- 金融机构派驻,上海元年金融信息服务有限公司,民营,本科,无要求,1-3年,96000.0,192000.0,100.0,299.0
22,数据挖掘,上海·浦东·张江,数据助理（派遣）,上海盛业实业有限公司,外商独资,大专,无要求,经验不限,91000.0,117000.0,20.0,99.0
23,数据挖掘,上海·嘉定·南翔,上海-数据爬虫工程师,广州海之鑫营销策划有限公司,其它,本科,无要求,3-5年,96000.0,144000.0,20.0,99.0
24,数据挖掘,上海·浦东·张江,数据挖掘,安徽长至企业管理有限公司,,本科,无要求,1-3年,180000.0,264000.0,,20.0
25,数据挖掘,上海·徐汇·漕河泾,数据专员,上海三渡,民营,本科,无要求,1-3年,91000.0,130000.0,100.0,299.0
26,数据挖掘,上海·虹口·北外滩,数据工程师（研发）,上海胜蓝软件技术服务有限公司,民营,本科,无要求,无经验,96000.0,132000.0,20.0,99.0
27,数据挖掘,上海·浦东·唐镇,数据接入与治理岗（上海）,昆仑太科(北京)技术股份有限公司,国企,本科,无要求,经验不限,96000.0,180000.0,300.0,499.0
28,数据挖掘,上海·浦东·张江,数据挖掘,其他,国企,本科,无要求,1-3年,96000.0,180000.0,10000.0,
