Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
0,硬件开发,上海·徐汇·虹梅路,工程师 （嵌入式应用系统的软硬件开发）,中芝软件系统(上海)有限公司,外商独资,本科,无要求,无经验,104000.0,130000.0,20.0,99.0
1,硬件开发,上海·浦东·金桥,硬件开发,其他,民营,本科,无要求,1-3年,120000.0,180000.0,10000.0,
2,硬件开发,上海·奉贤·青村,bms硬件开发工程师,上海赛南能源有限公司,民营,大专,无要求,经验不限,234000.0,455000.0,20.0,99.0
3,硬件开发,上海·徐汇·虹梅路,硬件开发工程师,柏飞电子,国企,本科,无要求,1-3年,240000.0,360000.0,100.0,299.0
4,硬件开发,上海·浦东·张江,硬件开发测试工程师,上海微创软件股份有限公司,合资,本科,无要求,3-5年,120000.0,216000.0,10000.0,
5,硬件开发,上海·松江·岳阳,硬件开发成员,凯士电子(浙江)有限公司,外商独资,大专,无要求,经验不限,96000.0,156000.0,100.0,299.0
6,硬件开发,上海·徐汇·虹梅路,硬件开发工程师（计算机方向）,柏飞电子,国企,本科,无要求,3-5年,300000.0,420000.0,100.0,299.0
7,硬件开发,上海·青浦·香花桥,硬件开发,颖润人力资源(昆山)有限公司,民营,高中,无要求,1年以下,72000.0,96000.0,1000.0,9999.0
8,硬件开发,上海·松江·中山,助理硬件工程师,上海军陶科技股份有限公司,股份制企业,大专,无要求,1年以下,72000.0,120000.0,300.0,499.0
9,硬件开发,上海·松江·新桥,硬件开发成员,凯士电子(浙江)有限公司,外商独资,大专,无要求,经验不限,96000.0,156000.0,100.0,299.0
10,硬件开发,上海·浦东·金桥,"软件开发（Java,python）-硬件工程测试部",其他,民营,本科,无要求,3-5年,108000.0,180000.0,10000.0,
11,硬件开发,上海·松江·小昆山,硬件开发,上海尼信电子科技有限公司,股份制企业,本科,无要求,经验不限,72000.0,144000.0,20.0,99.0
12,硬件开发,上海·闵行·浦江,硬件工程师实习生（2024届在校生，面试通过后可马上上岗）,上海冠显光电科技有限公司,民营,本科,无要求,1年以下,72000.0,120000.0,100.0,299.0
13,硬件开发,上海·浦东·张江,硬件开发,其他,民营,大专,无要求,3-5年,108000.0,216000.0,10000.0,
14,硬件开发,上海·青浦·香花桥,产品测试技术员,其他,上市公司,大专,无要求,1年以下,48000.0,60000.0,100.0,299.0
15,硬件开发,上海·青浦·徐泾,硬件开发,上海耘瓴端网络科技有限公司,民营,大专,整机测试 示波器 万用表 性能测试,1-3年,72000.0,96000.0,300.0,499.0
16,硬件开发,上海·浦东·金桥,软件开发（Android）-硬件工程测试部,其他,民营,本科,无要求,1-3年,108000.0,180000.0,10000.0,
17,硬件开发,上海·徐汇·虹梅路,硬件开发工程师,上海联和东海信息技术有限公司,民营,本科,无要求,1-3年,192000.0,288000.0,100.0,299.0
18,硬件开发,上海·青浦·徐泾,硬件嵌入式开发工程师：PCB、C/C++,上海道风信息科技有限公司,民营,本科,无要求,经验不限,72000.0,120000.0,,20.0
19,硬件开发,上海·嘉定·徐行,测试员,上光通信技术(上海)有限公司,,高中,无要求,经验不限,65000.0,104000.0,20.0,99.0
21,硬件开发,上海·普陀·长征,辅助开发-硬件,上海凌世,民营,本科,无要求,无经验,96000.0,120000.0,20.0,99.0
22,硬件开发,上海·浦东·金桥,硬件开发,其他,民营,大专,无要求,经验不限,144000.0,204000.0,10000.0,
23,硬件开发,上海·浦东·南汇新城,卫星测试岗,上海格思信息技术有限公司,国企,本科,无要求,经验不限,104000.0,195000.0,20.0,99.0
24,硬件开发,上海·金山·亭林,电子硬件助理工程师,上海山潜智能科技有限公司,民营,大专,无要求,1-3年,60000.0,84000.0,20.0,99.0
25,硬件开发,上海·嘉定·马陆,硬件开发工程师,其他,股份制企业,本科,无要求,经验不限,120000.0,240000.0,1000.0,9999.0
26,硬件开发,上海·徐汇·虹梅路,硬件开发工程师,才纵(上海)工程技术有限公司,外商独资,大专,无要求,3-5年,143000.0,286000.0,20.0,99.0
27,硬件开发,上海·浦东·金桥,助理硬件工程师,北京京铭宏硕科技有限公司,民营,大专,无要求,经验不限,84000.0,120000.0,100.0,299.0
28,硬件开发,上海·静安·大宁路,电脑芯片硬件技术支持,赛科斯信息技术(上海)有限公司,外商独资,大专,无要求,1-3年,72000.0,84000.0,1000.0,9999.0
29,硬件开发,上海·浦东·金桥,热设计工程师（硬件开发）-硬件工程架构与基础体验设计部,其他,民营,本科,无要求,1-3年,108000.0,180000.0,10000.0,
30,硬件开发,上海·浦东·金桥,硬件开发产品经理,其他,民营,本科,无要求,3-5年,180000.0,300000.0,100.0,299.0
31,硬件开发,上海·普陀·曹杨新村,硬件运维,上海祥虹信息技术有限公司,民营,大专,无要求,经验不限,72000.0,96000.0,20.0,99.0
32,硬件开发,上海·松江·中山,硬件开发,达丰（上海）电脑有限公司 ,合资,本科,无要求,无经验,72000.0,96000.0,10000.0,
33,硬件开发,上海·浦东·金桥,硬件开发,其他,民营,大专,无要求,3-5年,132000.0,228000.0,10000.0,
34,硬件开发,上海·浦东·张江,硬件开发工程师,北京锐科环宇科技有限公司,民营,本科,无要求,经验不限,126000.0,224000.0,20.0,99.0
35,硬件开发,上海·徐汇·天平路,硬件开发,其他,其它,大专,无要求,经验不限,104000.0,195000.0,100.0,299.0
36,硬件开发,上海·黄浦·南京东路,硬件测试工程师/上海,北京高迈致远信息技术有限公司,民营,大专,无要求,经验不限,96000.0,156000.0,20.0,99.0
37,硬件开发,上海·浦东·南码头路,硬件开发,南京天奕创业服务有限公司,合资,本科,无要求,5-10年,180000.0,264000.0,100.0,299.0
38,硬件开发,上海·静安·彭浦,硬件开发工程师,其他,民营,本科,无要求,1-3年,144000.0,288000.0,10000.0,
39,硬件开发,上海·青浦·徐泾,硬件开发,上海耘瓴端网络科技有限公司,民营,大专,EMC测试 示波器 万用表 PCB LAYOUT,1-3年,96000.0,108000.0,300.0,499.0
40,硬件开发,上海·徐汇·天平路,硬件开发,其他,其它,大专,无要求,经验不限,104000.0,182000.0,100.0,299.0
41,硬件开发,上海·闵行·浦江,智能车控硬件开发（主任/上海）,其他,国企,本科,无要求,5-10年,204000.0,360000.0,10000.0,
42,硬件开发,上海·嘉定·徐行,硬件开发（电子学组）,中国科学院上海应用物理研究所,事业单位,硕士,无要求,经验不限,144000.0,288000.0,1000.0,9999.0
43,硬件开发,上海·青浦·香花桥,硬件开发,上海淼漫信息技术有限公司,,大专,无要求,经验不限,60000.0,120000.0,,20.0
44,硬件开发,上海·杨浦·五角场,初级硬件工程师,蓝星光域(上海)航天科技有限公司,民营,本科,无要求,1-3年,120000.0,180000.0,20.0,99.0
45,硬件开发,上海·浦东·康桥,硬件开发工程师,深圳智蛋科技有限公司,民营,大专,无要求,3-5年,180000.0,360000.0,100.0,299.0
46,硬件开发,上海·闵行·浦江,座舱信息系统硬件开发（主任）,其他,国企,本科,无要求,5-10年,204000.0,360000.0,10000.0,
47,硬件开发,上海·徐汇·虹梅路,硬件测试工程师,上海联和东海信息技术有限公司,民营,本科,无要求,1-3年,96000.0,180000.0,100.0,299.0
48,硬件开发,上海·徐汇·虹梅路,硬件测试-上海/无锡,其他,上市公司,大专,无要求,1-3年,96000.0,120000.0,1000.0,9999.0
49,硬件开发,上海·浦东·金桥,硬件开发,上海华驿汽车技术有限公司,民营,大专,无要求,1-3年,168000.0,192000.0,100.0,299.0
50,硬件开发,上海·浦东·金桥,硬件开发/硬件测试,其他,民营,大专,无要求,3-5年,120000.0,240000.0,10000.0,
51,硬件开发,上海·大宁路,硬件编辑 (职位编号：03)-V4628J,上海久页信息科技有限公司,民营,大专,无要求,经验不限,108000.0,156000.0,20.0,99.0
52,硬件开发,上海·青浦·徐泾,硬件开发,上海耘瓴端网络科技有限公司,民营,大专,主板测试 电源测试 功能测试 可靠性测试 示波器 万用表 安规测试 信号发生器,1-3年,96000.0,120000.0,300.0,499.0
53,硬件开发,上海·浦东·张江,硬件开发,大连高仕科技有限公司,股份制企业,本科,无要求,3-5年,300000.0,420000.0,20.0,99.0
54,硬件开发,上海·宝山·罗泾,电子工程师（STM32/软硬件开发）,上海北昂医药科技股份有限公司,股份制企业,本科,无要求,5-10年,192000.0,312000.0,100.0,299.0
55,硬件开发,上海·嘉定·安亭,硬件开发,其他,民营,大专,无要求,1-3年,72000.0,120000.0,20.0,99.0
56,硬件开发,上海·宝山·淞南,硬件测试工程师,上海大视电子科技有限公司,民营,大专,无要求,1-3年,72000.0,96000.0,20.0,99.0
57,硬件开发,上海·浦东·金桥,硬件开发工程师,其他,民营,本科,无要求,1-3年,120000.0,180000.0,10000.0,
58,硬件开发,上海·普陀·桃浦,硬件开发工程师,五零盛同,国企,硕士,无要求,经验不限,144000.0,216000.0,100.0,299.0
59,硬件开发,上海·松江·九亭,硬件研发工程师,上海紫通信息科技有限公司,民营,本科,无要求,经验不限,96000.0,180000.0,20.0,99.0
60,硬件开发,上海·浦东·张江,硬件开发,其他,合资,大专,无要求,1-3年,96000.0,120000.0,1000.0,9999.0
61,硬件开发,上海·浦东·金桥,硬件开发,其他,民营,本科,无要求,1-3年,120000.0,216000.0,10000.0,
62,硬件开发,上海·长宁·新泾,硬件开发工程师,其他,民营,本科,无要求,3-5年,180000.0,360000.0,1000.0,9999.0
63,硬件开发,上海·浦东·张江,硬件测试助理工程师,上海爱辉通信技术有限公司,民营,大专,无要求,1-3年,108000.0,120000.0,300.0,499.0
64,硬件开发,上海·浦东·张江,硬件测试工程师,北京锐科环宇科技有限公司,民营,大专,无要求,无经验,72000.0,120000.0,20.0,99.0
65,硬件开发,上海·浦东·金桥,硬件开发,其他,民营,本科,无要求,1-3年,216000.0,240000.0,10000.0,
66,硬件开发,上海·浦东·南汇新城,硬件开发,上海芯问科技有限公司,民营,本科,无要求,经验不限,216000.0,252000.0,,20.0
