Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
0,运维,上海·普陀,运维,上海亚太计算机信息系统有限公司,国企,大专,无要求,1-3年,60000.0,84000.0,500.0,999.0
1,运维,上海·黄浦·五里桥,桌面运维工程师,翰竺科技(北京)有限公司,外商独资,学历不限,无要求,5-10年,96000.0,108000.0,100.0,299.0
2,运维,上海·徐汇·湖南路,运维,福州一九科技有限公司,,本科,无要求,1-3年,140000.0,196000.0,20.0,99.0
3,运维,上海·普陀,运维,上海亚太计算机信息系统有限公司,国企,高中,无要求,经验不限,60000.0,84000.0,500.0,999.0
4,运维,上海·静安·大宁路,运维工程师,上海天补科技有限公司,民营,本科,无要求,3-5年,180000.0,300000.0,100.0,299.0
5,运维,上海·宝山·淞南,项目运维工程师,上海科技网络通信有限公司,国企,本科,无要求,1-3年,98000.0,168000.0,100.0,299.0
6,运维,上海·闵行·虹桥,服务器运维与虚拟化工程师-驻场,上海泛翔网络科技有限公司,民营,本科,无要求,3-5年,240000.0,300000.0,500.0,999.0
7,运维,上海·闵行·颛桥,IT运营工程师-桌面运维,其他,民营,大专,无要求,3-5年,75000.0,105000.0,1000.0,9999.0
9,运维,上海·浦东·潍坊新村,运维,其他,上市公司,本科,无要求,3-5年,132000.0,180000.0,1000.0,9999.0
10,运维,上海·奉贤·南桥,运维,天津安能新能源技术有限公司,,中专/中技,无要求,经验不限,91000.0,156000.0,20.0,99.0
11,运维,上海·杨浦·新江湾城,桌面运维工程师,上海微创软件股份有限公司,合资,本科,无要求,1-3年,96000.0,120000.0,10000.0,
12,运维,上海·浦东·潍坊新村,系统运维工程师,其他,上市公司,本科,无要求,1-3年,120000.0,180000.0,1000.0,9999.0
13,运维,上海·虹口·北外滩,运维,天津安能新能源技术有限公司,,中专/中技,无要求,经验不限,96000.0,144000.0,20.0,99.0
14,运维,上海·杨浦·新江湾城,运维,上海微创软件股份有限公司,合资,大专,无要求,1-3年,168000.0,180000.0,10000.0,
