Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
0,java,上海·静安·静安寺,Java开发工程师（石油）,上海亚太计算机信息系统有限公司,500-999人,国企,8千-1.3万,大专,Java Hibernate,3-5年,96000.0,156000.0
1,java,上海·张江,日系JAVA开发SE,上海裕日软件有限公司,20-99人,合资,1.5万-2.5万,大专,后端开发 SQLServer jQuery,3-5年,180000.0,300000.0
2,java,上海·虹口·北外滩,Java开发工程师,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科,Java,无经验,96000.0,132000.0
3,java,上海·浦东·唐镇,java,其他,500-999人,上市公司,1.4万-1.9万,本科,后端开发 Oracle MySQL 微服务架构 分布式技术 多线程 SpringCloud SpringMVC,5-10年,168000.0,228000.0
4,java,上海·徐汇·斜土路,java,其他,10000人以上,其它,1万-1.3万,本科,无要求,3-5年,120000.0,156000.0
5,java,上海·浦东·潍坊新村,java技术开发工程师,其他,100-299人,合资,1万-1.5万,本科,无要求,1-3年,120000.0,180000.0
6,java,上海·浦东·唐镇,中高级java工程师（江浙沪出差）,其他,10000人以上,上市公司,1.5万-2万,本科,无要求,3-5年,180000.0,240000.0
7,java,上海·普陀·长征,高级java工程师,柏美智慧科技(上海)股份有限公司,100-299人,股份制企业,2万-3万·15薪,本科,无要求,3-5年,300000.0,450000.0
8,java,上海·浦东·金桥,java,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科,全栈开发 后端开发 SpringBoot SpringCloud Java Python,经验不限,225000.0,450000.0
9,java,上海·杨浦·大桥,java,其他,1000-9999人,上市公司,1.4万-1.6万,本科,无要求,3-5年,168000.0,192000.0
11,java,上海·浦东·张江,java软件开发工程师,上海微创软件股份有限公司,10000人以上,合资,1.3万-1.5万,本科,无要求,经验不限,156000.0,180000.0
12,java,上海·浦东·花木,初/中/高级Java（基金公司驻场+待遇优）,上海锐赢,20-99人,民营,1.3万-2万,本科,SpringBoot SpringCloud 后端开发,3-5年,156000.0,240000.0
14,java,上海·浦东·张江,高级java开发工程师,上海裕日软件有限公司,20-99人,合资,1.5万-2.5万,大专,无要求,5-10年,180000.0,300000.0
15,java,上海·长宁·新泾,Java开发工程师,上海微创软件股份有限公司,10000人以上,合资,1.8万-2万,本科,Spring MySQL 分布式 高并发,3-5年,216000.0,240000.0
16,java,上海·浦东·陆家嘴,java,上海锐赢,20-99人,民营,1.5万-2万,本科,无要求,3-5年,180000.0,240000.0
18,java,上海·浦东·泥城,java,上海微创软件股份有限公司,10000人以上,合资,1.2万-1.5万,本科,无要求,3-5年,144000.0,180000.0
19,java,上海·张江,赴日JAVA (WMS方向),上海裕日软件有限公司,20-99人,合资,1.5万-2万,大专,后端开发 SSH MySQL SQLServer,3-5年,180000.0,240000.0
20,java,上海·嘉定·南翔,资深Java工程师,格林酒店(上海)有限公司,10000人以上,民营,2.5万-3万,本科,后端开发,5-10年,300000.0,360000.0
21,java,上海·浦东·高行,java开发工程师,上海微创软件股份有限公司,10000人以上,合资,2.3万-2.4万·13薪,本科,无要求,5-10年,299000.0,312000.0
22,java,上海·黄浦·外滩,中级java开发工程师,其他,10000人以上,民营,1.2万-1.4万,本科,无要求,5-10年,144000.0,168000.0
23,java,上海·嘉定·南翔,资深Java工程师,格林酒店(上海)有限公司,10000人以上,民营,2.5万-3万,本科,后端开发,5-10年,300000.0,360000.0
24,java,上海·杨浦·新江湾城,java开发工程师（英文能沟通）,上海微创软件股份有限公司,10000人以上,合资,2.8万-3.5万,本科,无要求,3-5年,336000.0,420000.0
26,java,上海·嘉定·南翔,高级JAVA工程师,格林酒店(上海)有限公司,10000人以上,民营,1.5万-2.5万,本科,Vue Spring SpringBoot,5-10年,180000.0,300000.0
27,java,上海·徐汇·田林,java,上海微创软件股份有限公司,10000人以上,合资,1.6万-1.8万,本科,无要求,5-10年,192000.0,216000.0
29,java,上海·徐汇·漕河泾,java开发实习生,上海铱云信息技术有限公司,20-99人,民营,5千-1万,大专,无要求,1年以下,60000.0,120000.0
30,java,上海·徐汇·田林,java,上海微创软件股份有限公司,10000人以上,合资,1.4万-1.8万,本科,无要求,5-10年,168000.0,216000.0
31,java,上海·静安·天目西路,软件开发工程师,培安科技(北京)有限公司,100-299人,合资,8千-1万,本科,Java MongoDB MySQL HTML5,经验不限,96000.0,120000.0
32,java,上海·徐汇·田林,对日软件工程师(应届生),辛巴达软件,20-99人,民营,3千-5千·13薪,学历不限,Java 数据库 Spring SQL 日语,经验不限,39000.0,65000.0
