Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
0,产品经理,上海·静安·静安寺,产品经理,上海亚太计算机信息系统有限公司,500-999人,国企,1.5万-2.1万,本科,无要求,3-5年,180000.0,252000.0
1,产品经理,上海·奉贤·金汇,产品经理(J10787),上海兰宝传感科技股份有限公司,500-999人,民营,1.5万-2万,本科,无要求,5-10年,180000.0,240000.0
2,产品经理,上海·普陀·真如,产品经理_尼龙锚栓&amp;密封胶,德国慧鱼集团,100-299人,外商独资,1万-1.6万·13薪,本科,无要求,3-5年,130000.0,208000.0
3,产品经理,上海·静安·静安寺,B端产品经理,上海亚太计算机信息系统有限公司,500-999人,国企,1万-2万,本科,无要求,3-5年,120000.0,240000.0
4,产品经理,上海·浦东·潍坊新村,产品经理,赛得利(常州)纤维有限公司,1000-9999人,外商独资,2万-4万·14薪,本科,无要求,5-10年,280000.0,560000.0
5,产品经理,上海·嘉定·南翔,产品经理,格林酒店(上海)有限公司,10000人以上,民营,2万-2.1万,本科,无要求,3-5年,240000.0,252000.0
6,产品经理,上海·青浦·重固,产品经理-客服产品,其他,10000人以上,上市公司,1.5万-3万·13薪,本科,无要求,3-5年,195000.0,390000.0
7,产品经理,上海·闵行·颛桥,产品经理,其他,1000-9999人,民营,1.6万-1.8万,本科,无要求,3-5年,192000.0,216000.0
8,产品经理,上海·闵行·梅陇,产品经理,浙江勤达旅游用品有限公司上海分公司,100-299人,民营,2万-2.5万,本科,无要求,3-5年,240000.0,300000.0
9,产品经理,上海·青浦·重固,产品经理-商家产品 (MJ002064),其他,10000人以上,上市公司,2万-3.5万·13薪,本科,无要求,3-5年,260000.0,455000.0
10,产品经理,上海·浦东·高东,产品经理,保正(上海)供应链管理股份有限公司,100-299人,股份制企业,2.5万-2.8万·15薪,本科,无要求,5-10年,375000.0,420000.0
