Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
0,数据分析,上海·黄浦·南京东路,数据分析,福建大千食坊贸易有限公司,100-299人,民营,6千-9千,大专,无要求,1-3年,72000.0,108000.0
1,数据分析,上海·长宁·江苏路,数据统计分析助理,上海旗盈企业管理咨询有限公司,100-299人,民营,6千-8千,大专,无要求,经验不限,72000.0,96000.0
2,数据分析,上海·黄浦·五里桥,数据分析工程师,翰竺科技(北京)有限公司,100-299人,外商独资,1万-1.5万,本科,无要求,1-3年,120000.0,180000.0
3,数据分析,上海·浦东·张江,数据分析,其他,10000人以上,国企,8千-1.5万,本科,无要求,1-3年,96000.0,180000.0
4,数据分析,上海·静安·大宁路,国民链家+市场数据分析＋管培生底薪8000,上海链家地产,10000人以上,民营,8千-9千,本科,无要求,经验不限,96000.0,108000.0
5,数据分析,上海·宝山·罗店,物控助理文员,其他,100-299人,股份制企业,4千-6千,中专/中技,无要求,经验不限,48000.0,72000.0
6,数据分析,上海·浦东·张江,财务专员/采购专员/数据分析专员（泰语/越南语/印尼语）,大连弗斯特高新人才发展管理有限公司,100-299人,民营,8千-1.2万·13薪,大专,无要求,经验不限,104000.0,156000.0
7,数据分析,上海·松江·永丰,运营助理,上海利茸贸易有限公司,20-99人,民营,4千-6千,学历不限,无要求,经验不限,48000.0,72000.0
8,数据分析,上海·南京东路,数据分析（2023届应届毕业生）,其他,20-99人,事业单位,1万-1.5万,学历不限,无要求,经验不限,120000.0,180000.0
9,数据分析,上海·杨浦·平凉路,统计员（双休，五险一金）,杭州博盛达信息技术有限公司,互联网,300-499人,8千-1.2万,本科,无要求,经验不限,96000.0,144000.0
10,数据分析,上海·徐汇·虹梅路,数据清洗专员,大连勇歌科技有限公司,20-99人,股份制企业,7千-1万,大专,无要求,1年以下,84000.0,120000.0
11,数据分析,上海·浦东·潍坊新村,数据统计专员/助理,其他,100-299人,合资,7千-9千,大专,无要求,经验不限,84000.0,108000.0
12,数据分析,上海·杨浦·大桥,数据专员(双休),宿州旭耀数字传媒科技有限公司,20-99人,股份制企业,9千-1.2万,本科,数据治理 数据挖掘,经验不限,108000.0,144000.0
13,数据分析,上海·闵行·新虹,国际贸易管培生,其他,1000-9999人,民营,8千-1.2万·13薪,本科,无要求,无经验,104000.0,156000.0
14,数据分析,上海·徐汇·徐家汇,数据分析,其他,1000-9999人,民营,8千-1.6万,大专,无要求,经验不限,96000.0,192000.0
15,数据分析,上海·静安·北站,业务助理（上海）,中建材大宗物联有限公司,100-299人,国企,8千-1.6万,本科,无要求,1-3年,96000.0,192000.0
17,数据分析,上海·普陀·长寿路,数据分析,其他,1000-9999人,民营,7千-1.4万,大专,无要求,经验不限,84000.0,168000.0
18,数据分析,上海·静安·南京西路,销售顾问＋数据分析+资产管理专家,上海链家地产,10000人以上,民营,1.3万-1.8万,本科,无要求,经验不限,156000.0,216000.0
19,数据分析,上海·静安·共和新路,销售助理,上海德翼国际贸易有限公司,20-99人,民营,6千-8千,大专,无要求,1-3年,72000.0,96000.0
20,数据分析,上海·静安·南京西路,数据分析,讯升(上海)人力资源有限公司成都分公司,100-299人,外商独资,1.8万-3.5万·14薪,学历不限,无要求,经验不限,252000.0,490000.0
21,数据分析,上海·浦东·张江,人力资源专员/人事专员/招聘专员,美国Selleck生物科技有限公司,500-999人,合资,6千-8千·13薪,学历不限,无要求,经验不限,78000.0,104000.0
24,数据分析,上海·徐汇·虹梅路,比邻商务区，人气足+不动产综合销售，数据分析+五险一金,上海链家地产,10000人以上,民营,8千-1.6万,本科,无要求,经验不限,96000.0,192000.0
25,数据分析,上海·虹口·北外滩,理赔服务部数据分析岗,中国人寿财产保险股份有限公司上海市分公司,500-999人,国企,8千-1.5万,本科,无要求,1-3年,96000.0,180000.0
27,数据分析,上海·金杨新村,底薪8000起 提成高 晋升机会多 世界500强企业,上海链家地产,10000人以上,民营,1万-1.5万,本科,无要求,经验不限,120000.0,180000.0
28,数据分析,上海·静安·天目西路,运营专员+提供食宿,上海新凌通信科技有限公司,100-299人,民营,6千-7千,大专,无要求,1-3年,72000.0,84000.0
29,数据分析,上海·浦东·花木,数据分析专员,其他,10000人以上,外商独资,1万-1.5万,本科,无要求,3-5年,120000.0,180000.0
30,数据分析,上海·浦东·金杨新村,销售经理、数据分析、储备店长、无责保障底薪8k,上海链家地产,10000人以上,民营,1.1万-2.2万,本科,无要求,经验不限,132000.0,264000.0
31,数据分析,上海·静安·石门二路,信息数据统计员,其他,100-299人,民营,7千-8千,大专,无要求,经验不限,84000.0,96000.0
33,数据分析,上海·闵行·颛桥,数据分析,今商科技(上海)有限公司,20-99人,外商独资,6千-8千,大专,无要求,1年以下,72000.0,96000.0
34,数据分析,上海·金杨新村,销售经理、数据分析、财务管理、房产运营、链家直聘,上海链家地产,10000人以上,民营,1.8万-2.6万,本科,无要求,经验不限,216000.0,312000.0
35,数据分析,上海·长宁·新泾,电话客服质检专员,其他,1000-9999人,上市公司,6千-8千·14薪,大专,无要求,1-3年,84000.0,112000.0
36,数据分析,上海·黄浦·南京东路,销售订单管理专员（数据统计分析）,四川锦蓉川吉科技有限公司,100-299人,民营,5千-7千,大专,无要求,经验不限,60000.0,84000.0
37,数据分析,上海·宝山·大场,数据分析,其他,1000-9999人,上市公司,6千-8千,本科,无要求,经验不限,72000.0,96000.0
38,数据分析,上海·青浦·华新,物流专员（数据分析）(J13123),其他,10000人以上,股份制企业,6千-8千·13薪,大专,无要求,1-3年,78000.0,104000.0
39,数据分析,上海·徐汇·徐家汇,数据统计员,其他,100-299人,合资,6千-8千,大专,无要求,经验不限,72000.0,96000.0
40,数据分析,上海·黄浦·南京东路,数据分析,上海矢村电子有限公司,20人以下,民营,8千-1.2万·14薪,本科,无要求,经验不限,112000.0,168000.0
41,数据分析,上海·虹口·广中路,销售助理,上海志千里照明科技有限公司,20-99人,民营,6千-1.2万·13薪,大专,无要求,经验不限,78000.0,156000.0
42,数据分析,上海·静安·石门二路,数据分析员,其他,100-299人,民营,7千-9千,本科,无要求,经验不限,84000.0,108000.0
43,数据分析,上海·徐汇·徐家汇,商务助理销售助理,上海华汉实业有限公司,20-99人,民营,6千-8千·13薪,本科,无要求,经验不限,78000.0,104000.0
44,数据分析,上海·浦东·张江,上海-金融数据分析主管-9-6双休-五险一金-,其他,1000-9999人,民营,1.6万-1.8万·13薪,大专,无要求,1-3年,208000.0,234000.0
46,数据分析,上海·普陀·长寿路,数据分析,山东浪潮数字服务有限公司,500-999人,国企,8千-1万,大专,无要求,3-5年,96000.0,120000.0
47,数据分析,上海·浦东·金桥,销售助理（实习）,上海平欣电子有限公司,100-299人,民营,7千-1万,本科,无要求,经验不限,84000.0,120000.0
48,数据分析,上海·浦东·陆家嘴,数据分析,福建合诚信息科技有限公司,100-299人,民营,1万-1.4万,本科,无要求,经验不限,120000.0,168000.0
49,数据分析,上海·松江·岳阳,营运专员/助理,上海平高企业集团有限公司,100-299人,其它,4千-6千·14薪,大专,无要求,1-3年,56000.0,84000.0
50,数据分析,上海·闵行·虹桥,数据分析,其他,10000人以上,国企,7千-1万,本科,无要求,经验不限,84000.0,120000.0
51,数据分析,上海·新华路,销售助理,上海怡盟科技有限公司,20-99人,民营,5千-8千,大专,无要求,经验不限,60000.0,96000.0
52,数据分析,上海·虹口·江湾,管培生（数据分析）,上海天籍信息科技有限公司,20-99人,民营,7千-1万,硕士,无要求,1年以下,84000.0,120000.0
53,数据分析,上海·颛桥,数据分析,上海鑫维半导体有限公司,20-99人,民营,6千-8千,中专/中技,无要求,1-3年,72000.0,96000.0
55,数据分析,上海·长宁·新华路,销售助理/早九晚六/周末双休,上海怡盟科技有限公司,20-99人,民营,5千-8千,大专,无要求,1-3年,60000.0,96000.0
56,数据分析,上海·徐汇·虹梅路,商务区不动产综合销售，数据分析+五险一金,上海链家地产,10000人以上,民营,8千-1.5万,学历不限,无要求,经验不限,96000.0,180000.0
57,数据分析,上海·虹桥,数据分析（销售支持）,其他,10000人以上,上市公司,6千-1万·13薪,本科,无要求,1年以下,78000.0,130000.0
58,数据分析,上海·浦东·张江,数据助理（派遣）,上海盛业实业有限公司,20-99人,外商独资,7千-9千·13薪,大专,无要求,经验不限,91000.0,117000.0
59,数据分析,上海·浦东·浦兴路,链家管培生+VR专家+8000底薪+提供住宿方案,上海链家地产,10000人以上,民营,1.2万-2.4万,本科,无要求,经验不限,144000.0,288000.0
60,数据分析,上海·浦东·高行,数据分析,上海纽奥德国际货物运输代理有限公司,20-99人,民营,5千-7千,大专,无要求,经验不限,60000.0,84000.0
61,数据分析,上海·黄浦·打浦桥,数据管理（日语佳，应届生欢迎）,上海熙鸿广告有限公司, , ,6千-1万·15薪,本科,无要求,经验不限,90000.0,150000.0
